P37646	PF00563
Q9LX56	PF00646
Q9LX55	PF07723
Q96CN4	PF00566
G1UB61	PF00735
Q9VBR1	PF00995
P48558	PF01027
P48559	PF00071
Q2HR82	PF07188
P48554	PF00071
P10644	PF02197
P48556	PF10075
P10646	PF00014
P48551	PF01108
P10643	PF00090
P48553	PF12584
Q9XVJ5	PF02535
Q07511	PF02826
Q9XVJ1	PF00105
O94699	PF10300
Q9XVJ3	PF00106
D3ZFP4	PF17207
O94695	PF03151
O83188	PF02681
O94693	PF02213
O94692	PF06068
O94691	PF02375
Q6B4M5	PF00595
G5EDV3	PF00313
Q14CS0	PF00789
Q7TP77	PF05046
P16189	PF06623
Q9LY90	PF12146
Q9D518	PF14922
P69726	PF00522
Q9V968	PF01883
Q03983	PF02194
O25315	PF01555
Q0P889	PF00483
P69723	PF00559
P69720	PF00559
P69721	PF00559
Q84MB2	PF06200
Q84MB3	PF14226
Q8K2M0	PF01161
P69728	PF00522
Q9VUR4	PF00179
P16522	PF13181
P16523	PF00013
P16520	PF00400
P16521	PF00005
Q9Y296	PF04099
P16527	PF02063
Q9Y294	PF04729
Q9Y295	PF02824
P21663	PF00272
P56141	PF00290
P16528	PF01614
P56143	PF04552
P56144	PF01416
H3BPE1	PF00435
Q9SJU5	PF00643
Q12518	PF01417
Q12519	PF07690
Q6NPI4	PF07983
P52864	PF00444
Q6ICB0	PF05903
Q8BIQ3	PF01352
P94846	PF12344
P0AB61	PF10692
Q12511	PF00481
Q12512	PF13933
O94342	PF00083
Q12514	PF04065
Q12515	PF12223
O94347	PF01256
P52868	PF00226
Q9M0L0	PF00847
B8ZZE3	PF05175
Q8VZW1	PF00230
A4FVR3	PF03106
O84000	PF03006
A4FVR1	PF06972
Q727L7	PF01966
P35077	PF03865
Q9JIL4	PF00595
O01456	PF10319
Q9XU63	PF03619
Q9DB00	PF02671
Q6P5P5	PF00561
Q6P5P3	PF07719
Q9JIL2	PF00048
Q9XWD6	PF00053
Q9XWD5	PF01008
Q9XWD4	PF01827
Q5T7V8	PF04949
Q6RVA9	PF01146
B3RXX2	PF08447
P08841	PF03953
P05523	PF06827
Q8ILV0	PF03109
Q9VE87	PF13879
G5ECX8	PF03398
Q72JJ7	PF07521
P11996	PF03722
P11997	PF03722
P11995	PF03722
Q7CIY0	PF02203
Q8VC03	PF00400
Q12816	PF01454
Q81SU2	PF02588
Q8CLP4	PF05426
Q81PK9	PF03067
A1Z8T9	PF01221
Q88RA3	PF02668
A1ZAI5	PF03015
O75425	PF00635
Q9ZUG4	PF01008
O75427	PF13855
A1ZAI3	PF03015
P9WMF9	PF00072
Q95KM6	PF00822
Q9PJ53	PF01220
O23515	PF00827
A1ZAI8	PF00595
Q9PJ54	PF01288
F8W717	PF00400
B2RDU6	PF00288
P63544	PF00156
F1PL93	PF02115
Q6NRT0	PF00069
Q7CG08	PF02447
Q7CG09	PF02595
Q727L4	PF09019
Q8CGG2	PF01851
B7ZPG0	PF13695
A0AVN2	PF12796
Q7CG07	PF13556
Q00IB6	PF03031
Q7CG01	PF00072
Q7CG03	PF08548
P20138	PF07686
P0A7G6	PF00154
Q9ATF3	PF00319
O00505	PF01749
P17697	PF01093
P0A7G2	PF02033
Q6PDM2	PF00076
O00501	PF00822
Q09374	PF01966
Q8BGW8	PF07545
Q17850	PF00069
P20133	PF00432
P20134	PF00447
Q7CIY2	PF10101
Q09373	PF00400
Q9M1U4	PF03634
Q7P9P2	PF03471
Q3KN55	PF12796
Q1CXG7	PF06723
Q01583	PF00781
D3GU40	PF09850
Q01581	PF01154
Q01580	PF00008
J9NW75	PF00155
P02763	PF00061
F4K493	PF00176
O44538	PF13344
O60046	PF00254
Q8IYD2	PF01344
Q8IYD1	PF07145
O75398	PF01753
Q6IPW1	PF15747
Q6IPW0	PF15914
P78774	PF00400
Q9QYH6	PF01454
O75391	PF01424
Q8IYD8	PF04851
Q8IPP2	PF08737
O75396	PF00957
O75394	PF00471
Q9C0W0	PF05238
P0AGI1	PF02653
Q9C0W2	PF00004
Q8A993	PF10633
P52131	PF01926
Q8IVD9	PF14050
P52133	PF13280
Q9C7A2	PF13962
Q9C0W8	PF04437
Q9C0W9	PF01529
Q8IMP1	PF02759
P02766	PF00576
P52139	PF03230
Q9C7A8	PF05916
Q9Z6N8	PF07720
Q7L266	PF01112
Q8ZCK2	PF01566
Q8N328	PF13843
Q5A4H9	PF00134
Q47679	PF00795
Q9W671	PF00642
B2GVB3	PF00435
Q9VX99	PF03874
Q0PC43	PF00829
Q0PC46	PF13036
Q9W0A8	PF03939
Q0PC44	PF03783
Q9VYF2	PF00459
A1Z9R1	PF12901
Q9LZ20	PF13906
Q0PC49	PF03605
Q9UJ71	PF00059
O49974	PF00954
Q9BSD7	PF03266
Q9BSD3	PF15319
Q7K0T0	PF03542
P68543	PF00789
Q9M9M6	PF10276
Q553P5	PF05739
P66217	PF00471
O85749	PF13690
O85748	PF01584
Q45NF4	PF00196
A2AAE1	PF10479
Q9VTC7	PF00379
O81836	PF08744
O85747	PF07194
P55038	PF01493
Q9W760	PF00071
P62634	PF00098
P0A877	PF00290
P0A870	PF00923
P62630	PF03143
Q9UI08	PF00568
P0A873	PF01746
Q9UJ78	PF06467
Q7KSX2	PF07679
Q9VKQ9	PF05186
P0A879	PF00291
Q79EF1	PF00487
Q3TNL8	PF03281
P9WIG7	PF00934
Q5U0F4	PF00400
Q93930	PF04695
Q9R0T3	PF13181
Q8KRK5	PF07835
Q6PB44	PF00102
Q155Q3	PF00778
Q81T40	PF01551
Q9ZPE4	PF13516
Q9ZPE7	PF04674
Q7CL79	PF14760
Q9HCQ5	PF00652
A2RUS2	PF02141
O49839	PF07714
Q7CL70	PF01523
Q91ZR4	PF00415
P61286	PF00076
P35632	PF00319
Q8YT39	PF02321
Q9QZD4	PF02732
O83967	PF10016
Q9PM37	PF01807
Q9C9G5	PF00582
O83960	PF13581
Q9C9G7	PF00249
Q9C9G6	PF01883
Q7JQ32	PF07714
Q9QZD9	PF00400
Q9QZD8	PF00153
Q7JQ36	PF08515
P60153	PF00074
C6TIQ0	PF07714
Q38945	PF00459
Q76LT8	PF00443
P59289	PF01907
D4AE80	PF16741
P60778	PF07690
Q14003	PF11404
Q14004	PF00069
Q14005	PF00595
A1ZBY1	PF12796
Q9H3P7	PF13897
Q5VVM6	PF15742
Q8IAW2	PF00179
Q9BUV8	PF07019
Q8IAW0	PF01749
Q9NUT2	PF00005
Q6DKB4	PF00641
P97612	PF01425
Q8AXB3	PF07714
B6VAQ2	PF10584
Q940X7	PF12678
Q6ZTI3	PF00152
Q9Z270	PF00635
Q7ZY48	PF00572
Q9Z272	PF08518
Q9Z275	PF03765
Q9Z277	PF15613
A8K3Z6	PF05839
G1SNM3	PF00520
Q7KUN6	PF05129
A6ZRX0	PF00271
Q24JT5	PF00030
Q9Y148	PF13181
P49405	PF17144
P49404	PF00297
P49407	PF00339
P49406	PF01245
P49401	PF01479
Q9JI78	PF01841
P72760	PF00936
P72761	PF00936
Q5XXL4	PF00319
Q3MUI2	PF00640
Q3MUI1	PF00640
A0A1C9	PF08289
Q1M168	PF13716
P72768	PF09865
Q9WVL7	PF00048
Q8IZJ3	PF10569
Q8IZJ0	PF15177
Q8IZJ1	PF00791
Q2HIV9	PF00010
Q8IZJ4	PF00617
Q9WVL0	PF02798
P56931	PF02319
Q8CFI7	PF04560
P56937	PF00106
Q2HIV3	PF00072
Q9QUN6	PF00084
Q9QUN7	PF01582
Q9QUN3	PF00017
Q9VE04	PF09776
Q6DPU2	PF08289
P37088	PF00858
P37089	PF00858
Q9ZZW7	PF00961
P53610	PF00432
P24350	PF00157
Q5PP40	PF00856
Q8CKW8	PF01551
P75938	PF06429
Q766C0	PF00319
P75936	PF13861
P75937	PF06429
Q9W1G7	PF00956
Q9JI71	PF07657
Q9W1G1	PF06862
P75933	PF13144
P75931	PF01408
E7FI45	PF13607
Q08745	PF03501
Q8CLP9	PF07338
Q91Z69	PF00018
Q8INU2	PF14604
Q91Z67	PF00018
Q8RQE8	PF04998
Q6KNA9	PF01717
Q91Z63	PF13445
Q91Z61	PF00071
Q08743	PF04117
Q00975	PF00520
Q00977	PF00029
Q9XXU4	PF00001
Q9SQL2	PF00504
Q00973	PF00535
Q00972	PF02518
Q84XC0	PF00069
Q641D1	PF16282
Q00978	PF10401
Q7Z713	PF12796
Q0P8I6	PF01370
P91505	PF02798
P22888	PF13306
P73241	PF00403
Q0P8I0	PF00535
Q91X34	PF04775
P30366	PF16891
Q10EK7	PF01277
Q9QZF3	PF00651
Q0P8I8	PF05050
P25357	PF00249
P25356	PF14844
P25355	PF09759
P25354	PF00674
P25353	PF01663
P77272	PF02378
P25351	PF07690
Q9VY44	PF01331
Q93Z20	PF00854
P75682	PF00701
Q9VY48	PF01161
P75684	PF03466
P75685	PF04224
P77279	PF00005
P75687	PF07338
O96533	PF04139
P0DKI0	PF01127
D6RIF6	PF15301
A9X4U2	PF02453
Q91YI1	PF10033
Q91YI0	PF00206
Q9VGW1	PF00028
Q91YI4	PF00339
Q91YI6	PF03828
O35793	PF03045
O35796	PF02330
Q6TDP3	PF01344
Q3KNT9	PF15203
Q9VCT3	PF01151
O70277	PF13445
Q9VCT4	PF07679
Q961W1	PF00903
O70274	PF00102
Q9DBB8	PF01408
Q81VY7	PF03461
Q9C533	PF01529
G3V9C7	PF00125
Q9C534	PF12937
Q5UM14	PF00520
P06602	PF00046
P06603	PF03953
P06601	PF00292
P06606	PF03953
P06607	PF00151
P06604	PF03953
P06605	PF03953
P72739	PF05685
P06609	PF01032
Q9VRR2	PF03105
Q5NCY0	PF02373
Q0PBU9	PF13335
Q8MQ68	PF00225
Q9SMN0	PF07859
Q9ESN9	PF09744
Q9ESN6	PF13445
Q71SY3	PF01997
Q9ESN4	PF01391
Q640J6	PF00400
Q0PHV7	PF15268
Q9VRR0	PF00083
Q9SMN9	PF02201
Q5BK33	PF07653
Q8S8S3	PF08137
Q8BTV2	PF00076
Q9NV29	PF16311
Q9P7G6	PF00498
Q72CP5	PF00497
Q6DUB7	PF00836
Q9P7G3	PF03647
Q9P7G0	PF03715
Q5SLP6	PF03946
Q74XD3	PF03091
Q8ZAB3	PF00920
P54322	PF01180
Q6Z2M5	PF01423
Q53TP4	PF11648
Q9P215	PF01352
Q99LI2	PF05934
P0CAW8	PF00486
Q9LG15	PF04504
Q9UQ26	PF00168
P34068	PF03855
Q99LI8	PF00790
Q99LI9	PF16575
Q9VWN5	PF13898
P34064	PF10584
Q91XE4	PF04952
Q9VWN2	PF00782
Q9D5T7	PF02301
Q9EQQ0	PF00856
Q86UA6	PF14766
Q86UA3	PF03690
Q6ZVH7	PF12796
Q803I4	PF16207
Q14154	PF08238
Q9U1U4	PF00179
P71301	PF00196
B5HSR1	PF07732
Q14155	PF07653
G1SED9	PF10255
Q5XID1	PF05093
Q9P212	PF00617
Q9VT29	PF00149
Q8D017	PF00015
P56395	PF00173
P76658	PF00294
P04388	PF00071
Q7RTU3	PF00010
P76657	PF07290
Q7RTU1	PF00010
Q7RTU0	PF00010
Q7RTU7	PF00010
Q658N3	PF00808
Q7ZXZ5	PF00443
Q59296	PF06628
Q96CU9	PF01266
Q9ERD7	PF03953
Q9GYU8	PF10168
Q9GYU7	PF09748
Q9ERD8	PF00307
Q9P778	PF00326
Q81VY6	PF04014
Q55739	PF00149
P00520	PF00018
P00523	PF00018
P00522	PF00018
Q4JQU1	PF01499
P56393	PF05392
Q8VYF7	PF08536
Q55731	PF13286
Q9SCX3	PF00736
P9WI71	PF14032
Q08548	PF03062
Q4JQU8	PF02718
Q9SCX5	PF11834
Q9EP72	PF09430
O43913	PF14630
Q9Y6G9	PF05783
O43916	PF00685
O88307	PF15901
O43918	PF01342
Q9Y6G5	PF07258
P08736	PF03143
Q6JHU9	PF00569
P08730	PF00038
Q9Y6G1	PF03647
Q9GYJ3	PF01549
Q9Y6G3	PF10210
Q9UKX5	PF00092
Q8VCU1	PF00135
Q9UKX7	PF00638
Q8W493	PF00175
Q81JN0	PF00015
Q9UKX2	PF01576
Q9UKX3	PF01576
Q9FL33	PF17207
P04385	PF00288
D3ZJR1	PF12763
Q6GPN8	PF04153
Q6PHW0	PF00881
P45984	PF00069
Q9VNL8	PF07898
Q9VNL4	PF00462
A1Z813	PF04810
Q9EP75	PF00067
Q9V9Y4	PF02932
Q81JG2	PF01098
Q9V9Y7	PF00194
P08037	PF13733
Q08298	PF03181
P00298	PF00127
P74487	PF13340
Q08299	PF07690
P73294	PF00572
Q9R0Q3	PF01105
B5MDE0	PF04506
Q70KP4	PF02710
H3BMM9	PF00076
O83402	PF01098
O08523	PF00100
O15194	PF03031
B8Y6I0	PF13812
Q93SW9	PF16639
Q9R0Q4	PF05712
Q9XWR1	PF04500
Q8SZ63	PF09787
Q66HR2	PF03271
Q09672	PF02548
Q46822	PF00293
O32239	PF00015
Q9XWR2	PF01484
Q7Z5G4	PF10256
Q81SQ9	PF02074
Q84WB0	PF00319
Q81ZG7	PF02844
Q81ZG1	PF03119
O64703	PF00319
O64700	PF02492
P08191	PF09160
P08192	PF08245
Q7CKB5	PF05683
P08194	PF07690
P08195	PF16028
P23378	PF02347
O60016	PF00856
Q19983	PF00335
Q19980	PF01227
Q19981	PF01437
Q19986	PF00400
P23372	PF03394
Q7CKB8	PF07906
Q80W65	PF00082
Q18056	PF00010
Q18054	PF00010
Q09631	PF10524
P27469	PF15103
P27467	PF00110
P27466	PF00069
P75104	PF10396
Q09639	PF00615
Q09638	PF00001
Q8IL35	PF04130
P75100	PF01519
O25983	PF02599
Q8VHU1	PF01608
Q0P8R0	PF05670
O44669	PF01531
Q67IX6	PF00085
Q53W09	PF12469
Q9LSE1	PF00069
Q9LSE2	PF00010
Q9LSE3	PF00097
Q63285	PF00076
Q9UEF7	PF00232
Q9R1E0	PF16675
P69212	PF00893
P52823	PF03298
Q7DB79	PF07201
Q9H239	PF01471
Q7DB77	PF07490
Q9NVH1	PF11875
A1L1K8	PF16174
Q7PBL6	PF04392
O22985	PF00106
Q9VVY4	PF01966
F8VQB6	PF00169
Q62481	PF08265
O23051	PF00067
P27178	PF00119
H2KZQ6	PF00520
Q8NEQ6	PF15547
Q94BV2	PF08209
P22194	PF12799
Q8BGH2	PF01103
Q9FIB6	PF01399
Q9VD29	PF00025
Q9ATY5	PF00752
G5EF87	PF16498
P32499	PF00638
Q3UMG5	PF13855
Q3UMG4	PF00038
Q9VU39	PF00294
Q6VVB1	PF14634
Q9VU33	PF10557
Q9VU30	PF03600
Q9VYT8	PF00067
Q9VU37	PF04140
P29083	PF02002
Q9VU35	PF00166
Q9LJN8	PF00400
A5XCL5	PF01704
Q8CZM8	PF00359
Q09167	PF00076
Q5LJP0	PF12777
Q7BMV7	PF01298
P0CT64	PF00380
Q9SIN1	PF00085
Q5LJP9	PF13537
Q81X37	PF03466
Q62739	PF06428
F1LSG8	PF10475
E9PH57	PF00010
Q62735	PF00105
Q62733	PF08198
Q9VTZ5	PF00405
P41092	PF00828
P41093	PF01775
Q8ZCT2	PF00334
P41091	PF03144
Q8VEK3	PF00622
P41094	PF00416
Q8VEK0	PF03381
P04037	PF01215
G0SGZ5	PF03810
Q6GM89	PF13445
Q8BQC8	PF01352
Q9UJT9	PF13516
Q86PD7	PF04389
P40320	PF00438
P40327	PF00004
Q9UJT1	PF00091
Q9UJT0	PF03953
P40329	PF00750
P40328	PF09336
P03179	PF12818
Q55651	PF10989
Q21187	PF00250
P03170	PF05363
P03177	PF08465
H7C417	PF10558
Q729A3	PF00438
H0UI45	PF12130
Q8IS44	PF00001
P04994	PF13742
Q9Z1Z0	PF04869
Q9Z1Z3	PF01417
Q9Z1Z2	PF00400
P04990	PF00291
P04993	PF13538
Q6CMU6	PF15511
P53702	PF01265
Q6GNV0	PF00557
A1Z7R9	PF00642
Q9H6L4	PF00514
O81010	PF00201
P33570	PF00456
Q9PHK7	PF00764
Q95TY2	PF15279
Q5NG39	PF02780
Q95TY8	PF00171
Q9VUD5	PF00520
F1MUM9	PF02295
Q9R002	PF02760
B3KSH1	PF13012
Q9R000	PF04969
P38491	PF12945
Q9R007	PF00059
P38494	PF00575
Q9HC44	PF15337
Q9R008	PF00288
Q49A55	PF00621
Q9BP41	PF08389
Q7P8X1	PF01728
Q9VJ32	PF02574
Q68FX0	PF00180
Q8N5Y2	PF11717
Q8N5Y8	PF00644
Q9VLI1	PF07748
Q9U2P1	PF01827
Q53G26	PF00684
Q9VLI0	PF07748
P24391	PF01459
A8MVJ9	PF10228
W0TA43	PF10033
Q8IBN5	PF00177
Q6QIY3	PF06512
P05532	PF07714
O70133	PF07717
Q9TVI0	PF10613
Q9VF28	PF04062
O70137	PF00046
Q9VF26	PF00567
O22252	PF01699
Q9VF24	PF01347
Q9VF25	PF09808
P0AG00	PF02706
Q9VF20	PF16185
H0RND5	PF04614
P74193	PF00291
Q9HIA5	PF02817
Q5DU37	PF01363
Q8R346	PF07973
A1ZAW7	PF10589
Q5NG37	PF13520
Q8L9Y3	PF00072
Q7K3W4	PF00100
Q48EH2	PF04461
P0AG07	PF00834
Q9Z2H2	PF00615
Q9PIS3	PF07973
Q9Z2H4	PF01462
Q9Z2H5	PF04382
Q9Z2H7	PF00595
P74197	PF08448
O25989	PF14849
Q8CGU9	PF00351
M0R160	PF01352
P47728	PF13499
Q99M04	PF04055
Q96N58	PF01352
P05534	PF06623
O94668	PF08691
Q6CTI2	PF00125
Q5T215	PF04051
Q9ZNT1	PF00175
B2CQK0	PF11754
P38235	PF08450
P38232	PF08550
P38230	PF00107
P38231	PF17315
Q9H7J1	PF03370
D0UZL9	PF12906
Q5S248	PF00089
P38238	PF01728
P38239	PF13639
O60830	PF02466
O60831	PF03208
O60832	PF01509
O14351	PF00106
O14356	PF00454
O14354	PF06420
O14359	PF01738
O74835	PF05843
P39722	PF00071
P39721	PF01738
P39720	PF00172
P39727	PF07970
P39726	PF01597
O74833	PF04675
P39724	PF01722
Q8XBV8	PF02706
P39729	PF02824
Q96IU2	PF02892
O74839	PF00924
Q9LVS0	PF00249
Q9VMT4	PF00566
Q63002	PF00040
Q2HXL6	PF02225
P46674	PF03399
Q7BSW5	PF02395
Q38BV6	PF03952
Q9S841	PF01716
Q61614	PF00001
Q61616	PF00001
Q7LDG7	PF00618
Q9M2Z4	PF00173
A8K932	PF00225
O62496	PF00105
Q9CZB0	PF01127
Q9CZB3	PF01170
Q9NVW2	PF13639
Q9CZB6	PF05983
Q9M2Z1	PF07714
P17903	PF01740
P17900	PF02221
P0A9D8	PF14805
Q8BXQ2	PF04113
P17904	PF13581
P75747	PF05145
P49846	PF00400
Q18610	PF00561
Q8LEE7	PF01786
Q9I910	PF03441
Q9N3X2	PF08071
Q765I0	PF02083
Q13029	PF00856
Q18612	PF00010
Q9BXL8	PF06031
Q9BXL6	PF00625
Q9BXL7	PF00619
Q13021	PF01284
Q8I3M5	PF12755
P91404	PF12678
Q8N1K5	PF12736
Q86V40	PF01963
Q8IE95	PF00856
Q8IE96	PF01150
P95989	PF01193
Q81VB3	PF00512
Q3TKT4	PF00176
Q9NFV8	PF10569
Q6PDS5	PF08499
Q92527	PF12796
Q9NFV5	PF10569
P43003	PF00375
P03775	PF08684
Q69028	PF00078
C5E519	PF00599
P43007	PF00375
P43006	PF00375
P46077	PF00244
P43004	PF00375
O16844	PF00225
Q69027	PF00739
Q99234	PF08733
P42751	PF00134
P42752	PF00134
P42753	PF00134
Q9NPI9	PF01007
Q9NPI8	PF11107
P93008	PF00271
P42758	PF00257
P42759	PF00257
