yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF1AF	Entry
835947	Q9LVL5
84253	B4DH81
84253	Q5VVW2
835943	Q9LVL9
835942	C0LGW1
835942	Q9LVM0
835941	A0A178UAH2
835941	Q9SEI4
815342	Q3EC48
2539451	Q9Y7T9
836360	Q9LVA0
21843	D3Z3Y4
21843	P70318
21843	Q545C1
21843	Q921W2
23152	A0A0A0MQR4
23152	Q96RK0
836364	Q8W1E3
836365	A0A178UL88
836365	Q8L557
829641	Q8GUQ8
14897	G5E870
285237	D3DU39
285237	Q5JPI3
176674	Q8I0Z1
176674	Q9XTT2
84258	A0A024R4I9
84258	Q9BQG1
184873	Q94188
84259	A0A024R3A2
84259	B4DP84
84259	Q9BTE7
45278	L7XAI0
45278	M9PGI1
45278	P29349
659	Q13873
829644	A0A178UYQ8
829644	Q9SW43
827337	A0A178V653
827337	O23487
827336	Q9ATB4
827333	Q8GWE0
827331	Q9SCY5
827330	Q9C5P6
818371	A0A178VV03
818371	Q9SH93
827338	A0A178V110
827338	Q94CL6
816795	A0A178VTW7
816795	Q94JY4
418597	Q5ZMS3
816794	A0A178W215
816794	C0SV55
816794	Q38840
317396	D4AA63
238880	Q8BFZ3
816797	A0A1P8B2L8
816797	Q9ZQ47
84247	Q6ICC9
84247	Q9BQJ3
84246	Q9BTT4
84245	Q9BV20
5199	A0A0S2Z4I5
5199	P27918
5198	A8K9T9
5198	O15067
5198	Q6P4B4
1618	A0A140VK77
1618	Q92904
84240	A0A024RAL5
84240	Q8N567
1616	A0A024RCS3
1616	B4E1C1
1616	Q53F85
1616	Q9UER7
5194	Q92968
5197	P10720
5196	P02776
5191	O00628
5191	Q6FGN1
1613	B3KNJ3
1613	O43293
5193	O00623
5192	A0A024R068
5192	A0A024R0A4
5192	O60683
1466442	Q3E821
179533,179535	P0DM41
179533,179535	P0DM42
179534	P10984
179537	E9P8A2
179537	O45622
22202	P31254
2539460	Q9USK3
2539461	Q9Y7T4
2539462	O74552
138474	Q8IZX4
2539464	O74905
2539465	P87235
2539466	O74914
2539467	O94488
2541603	Q10059
2541602	Q10055
2541601	Q9UUI5
819704	F4J7A6
819704	Q8VZT3
2541607	Q09897
2541606	Q00619
2541605	Q09915
2541605	S6BMF4
2541604	Q10292
40310	M9PG87
40310	Q9VPA1
2541609	Q9UUI3
2541608	O14099
40314	Q24342
40316	Q9VP94
317649	Q8N5X7
363287	Q99P99
735045	Q1L721
14270	Q91Z67
3565037	Q10122
821098	A0A178V6M1
821098	Q9SS89
322269	Q7ZU84
305967	Q70AM4
285464	B3KX85
285464	Q8N1N5
830409	Q8VZW3
45894	A0A0C5K8A0
45894	P34739
5449	P28069
5443	P01189
5442	O00411
5442	Q4G0F4
5441	P62875
5440	A0A024R9G0
5440	P53803
5447	P16435
5446	Q15166
5445	A0A0J9YYG4
5445	J3QT77
5445	Q15165
5444	P27169
821094	Q9S7U7
9370	A8K660
9370	B2R773
9370	Q15848
172676	B2D6P4
172676	G5EC52
834580	Q0WTI0
834580	Q9FHJ2
284541	A0A087WZX9
284541	A5PKT5
284541	A5PL05
284541	Q5TCH4
284541	Q5TCH5
821096	A0A178VIH2
821096	A0A1I9LMF2
821096	Q93XX2
2541610	O13971
821097	A0A178VBX0
821097	Q9SS87
40521	A0A0S0WNY8
40521	A8JNX5
40521	M9NE13
40521	M9PDC9
40521	Q95RL8
2541612	Q09914
2541612	S6BDG7
823057	Q9LHC4
71176	Q9D417
26091	A0A024QZN8
26091	Q5GLZ8
843607	A0A178W370
843607	Q38820
317671	A0A024RAR3
317671	Q8TAC1
811551	Q8I4R5
2543301	Q9P7T9
441519	Q8NHU0
16582	A0A1D5RLM0
16582	E9PWU7
16582	O35231
843600	A0A178WLT3
843600	Q9CAI3
29974	A0A024QZI9
29974	A0A024QZJ5
29974	A0A024QZM7
29974	B4E1E3
29974	F8W9F8
29974	Q9NQ94
83737	Q96J02
83734	Q9H0Y0
29970	P0DPB3
83733	A0A024R0W0
83733	Q9H1K4
2541619	Q10178
29978	Q9UHD9
29979	A0A024R258
29979	Q9UMX0
218639	B7ZN40
218639	Q8BGR6
665780	E9Q3G0
31971	Q9W2V3
2543306	Q10262
388585	Q5TA89
108155	Q8CGY8
831756	A0A178UAH8
831756	F4KDU5
831756	P49691
830434	A0A178UDA3
830434	Q9FFG4
318841	M9PCW5
318841	Q7KTJ7
318841	Q8IPG9
318846	A0A0B4KFZ9
318846	P84040
318847	P02299
127253	Q6IPR3
127253	Q96GE7
127255	A6PVS8
831759	A0A1P8BBB5
831759	F4KGQ0
819109	A0A178VV31
819109	F4IW09
819109	Q8L3T0
819108	Q8L7F7
8239562	E0W1I1
7681	Q13064
129880	A0A0S2Z626
129880	Q8N3I7
3885924	C6KSV3
55917	A0A024R0C7
55917	Q9P2B4
819102	O22159
819105	A0A1P8AZZ0
819105	F4IV43
819105	Q84WV5
819104	A0A178VUC4
819104	A0A1P8AYB9
819104	Q8RXD6
5473	P02775
285489	A0A1W2PRA3
285489	Q18PE1
285489	Q8N1M3
207920	F8WGU3
207920	Q3US41
837720	A0A178WG85
837720	Q84VW5
5471	A8K4H7
5471	Q06203
5471	Q59G63
217692	Q8C0T5
259448	Q5WRU0
3885929	C6KSW5
837725	A0A178W336
837725	Q9SA96
3361396	Q8TFH3
825294	A0A1I9LNT2
825294	F4JE70
825294	Q9M2E2
837726	Q9SA95
3588	Q08334
7538	M0QY76
7538	P26651
177595	G5EFK4
3589	A8K3F7
3589	P20809
7535	P43403
367	A0A087WUX9
367	F1D8N5
367	G4VV16
367	P10275
367	Q9NUA2
7536	A0A024R566
7536	A0A024R572
7536	A0A024R588
7536	A0A024R5D9
7536	B4DX42
7536	Q15637
362	P55064
3647468	Q59MJ1
360	Q92482
7532	P61981
19353	K7Q7T7
19353	P63001
19353	Q3TLP8
19357	Q3TG35
19357	Q61550
19356	Q3UYY2
19356	Q6NXW6
19354	Q05144
14660	D3Z7P3
19359	P54728
19359	Q3UQN3
19358	P54726
19358	Q3TN85
19358	Q8CAP3
835129	A0A178US17
835129	P0DKC5
835129	P0DKC6
835128	A0A1P8BF42
835128	P0DKC7
835128	Q9LUF2
844036	A0A178WNL6
844036	A0A1P8AT24
844036	O49286
65180	Q63881
3215	P09067
835127	P0DI12
835127	P0DI13
259197	O14931
259197	Q05D23
64854	P62068
64855	A0A024R872
64855	Q96TA1
64856	Q6PCB0
64857	Q9H7P9
10989	Q16891
10988	A0A140VJE3
10988	F8VQZ7
10988	P50579
64852	F5H0R1
64852	Q9H6E5
64853	Q96BJ3
10985	Q92616
10987	A0A024R7W9
10987	Q92905
654824	Q569N2
10981	Q13637
10980	Q7L5N1
10983	A0A024RDH0
10983	Q14094
10982	A0A024RC33
10982	Q15555
151887	Q76M96
43506	Q9VAH9
7354398	B7YZX7
7354398	B7YZX8
151888	Q7Z6A9
810419	Q8IJD6
810411	Q8IJE4
39673	P22469
214345	G3X9W3
214345	Q571M3
214345	Q80VQ1
64582	Q8IZ08
2201	P35556
2202	A0A0S2Z3V1
2202	A0A0S2Z4F1
2202	B2R6M6
2202	Q12805
2203	P09467
2203	Q2TU34
2204	A0A024R4N4
2204	A0A024R4R4
2204	P24071
81605	A0A024R8C7
81605	Q9BTM9
843513	A0A178W829
843513	Q94AG2
2207	P30273
81608	Q6UN15
2209	P12314
843519	A0A178W2N3
843519	Q39232
43039	Q9VBU9
56491	Q8BH80
201562	Q6Y1H2
2542045	O13916
312912	A0A0G2KA11
312912	D3ZW14
4477	P08118
43035	Q9VBV4
43034	Q9VBV5
312915	D4A631
21389	P70327
2542047	Q09926
46201	A0A126GUW2
46201	Q9VEJ2
852777	P53144
21380	B9EII4
21380	P70323
21387	P70325
21387	Q8BSY3
850889	Q05775
21384	O70306
832476	A0A178UIT8
832476	Q9FL62
832477	A0A178URC9
832477	Q9ZNX9
116211	B7ZW46
116211	Q96DZ7
850888	P80667
94005	Q8NBL9
94005	Q96IR5
94005	Q96S52
17294	D3Z383
17294	Q07646
17295	A4FUV6
17295	F8VQL0
832478	A0A178UCZ8
832478	Q9FL61
159963	Q1EHB4
301363	F1M754
304581	B2RYL3
35568	A0A0B4KF49
35568	Q8MLL3
396905	P26461
825655	B9DFD5
825655	Q94KI8
9439	Q05DL5
9439	Q9ULK4
9436	O95944
9437	A0A0A0MQZ0
9437	A0A0A0MR94
9437	A0A0A0MTU0
9437	O76036
11636	Q9R0Y5
235344	F8VPT7
235344	H3BKG1
235344	Q8CFH6
11632	O08915
100133941	P25063
825650	Q9ZT82
825650	W8PV73
64326	Q8NHY2
64326	X5D7N8
64326	X5DNY7
60666	O35077
64324	Q96L73
64324	Q96MN8
850885	P33310
64320	Q96BH1
153222	Q8IUR6
268721	Q3UHH1
35560	A1Z6M0
64328	Q9C0E2
60668	O08838
362599	Q5U1Z2
114590	A0A140TAI1
114590	Q9JJP9
35561	Q7K3U4
145226	A0A0S2Z613
145226	Q96NR8
820104	A0A178V887
820104	Q94AA1
35567	Q4QPU3
826814	Q8GW78
826816	A0A178V7H8
826816	Q8VYJ2
826811	A0A1P8B530
826811	F4JPW1
35564	Q6NQZ5
826813	A0A178V276
826813	Q9SZ70
499443	C0KUC5
499443	C0KUC6
254013	Q8IXQ9
122830	B3KS28
122830	Q147X3
114991	Q5T7W0
32692	Q9VX85
850618	P43625
850619	Q07878
850616	P43623
20473	Q62233
850614	P04806
20471	Q3V2C3
20471	Q62231
20471	Q8BSP4
850612	P43621
850613	P32496
850610	P19955
850611	P30657
9293	F2YGU0
9293	Q9Y2T5
9290	A8K858
9290	Q9Y2T6
9296	A4D1K0
9296	Q16864
9294	A0A024R7B2
9294	O95136
9295	Q05519
495144	A0A1L8GYQ5
495144	Q5XGT7
51710	F8W7T7
51710	P15621
3361399	Q8TFH6
75914	A6H5Z3
67902	Q8BPG6
78266	Q9D2D7
821719	A0A178V736
821719	Q9LVE2
269233	A2ATK9
269233	A2ATL0
269233	A2ATL1
179276	Q22555
179274	A0A0K3ASB9
179274	A0A0K3ASW2
179274	A0A0K3AVW5
179274	A0A0K3AY55
179274	H2L099
179275	Q22554
179272	O61980
179272	Q5TKA9
179272	Q86S24
179273	H2L0A2
179273	Q22552
3355079	D3DME9
3355079	M9PDD4
3355079	M9PG40
3355079	Q8SYG3
3355072	A8Y582
3355072	Q7PLP4
3355072	Q7PLP5
53405	Q49AE1
53405	Q53G01
53405	Q9NZA1
10214	A0A024R1B1
10214	Q99909
53407	Q9P2W9
841820	Q42534
10211	O75955
10211	Q5ST80
10210	Q9NS56
10213	A0A140VKF2
10213	O00487
10212	O00148
2540213	Q10202
2540212	Q9Y7M4
841829	A8MRC0
841829	B9DG10
841829	Q9SSA8
841828	A0A1P8AT54
841828	A0A1P8AT59
841828	F4HTE6
10219	Q96E93
10218	O43827
2540215	O94697
105439	Q68FF7
54751	Q8WUP2
176534	F3Y5Q6
176534	Q9XXC8
840199	Q8LGC6
37979	A0A0B4LGJ7
37979	A6MHQ4
37979	B5RJJ9
37979	E1JGW7
37979	Q86BN4
37978	Q2PE13
37977	Q9W0Z4
3885798	C6KT19
37973	A2VEF7
37973	P20009
37972	Q9W100
37971	Q9W101
37970	Q9W102
58911	Q8R0F3
34408	Q9VKX8
30988	A8JUS8
30988	Q9W5G0
30986	Q9V3S0
34404	Q24454
34405	Q9VKY1
34402	Q9VKY3
34080	A0A1B2AJY7
34080	Q9VLV5
30981	P10083
30980	P09957
92400	Q96H35
850435	P25382
2852	A0A024R849
2852	Q63ZY2
2852	Q99527
850432	P25641
814888	A0A178VW66
814888	Q9ZPR7
850433	P25334
24380	Q05683
2999	P20718
66366	Q9CQE7
24383	P04797
850430	P10862
66362	Q7TQK4
24387	P47819
2990	P08236
187657	Q21799
50270	Q9VV12
2994	B8Q175
2994	P06028
180606	Q18013
2997	P13807
217995	G3X9B1
67943	Q9ERE7
67941	D3YYB0
67941	Q6ZWY3
131076	C9JQ41
131076	Q4VC31
143241	Q8WWB3
143244	Q6IS14
67948	Q8BIG4
288664	D3ZL52
20132	O35214
20132	Q543W9
20132	Q80XL3
20132	Q9D1T9
107272	Q3U6K9
107272	Q543K5
107272	Q99K85
107271	A2A7S7
107271	Q91WQ3
851259	P10591
66090	P61237
824605	A0A178VL09
824605	A0A1I9LTW1
824605	Q9M2U8
851251	P39724
851250	P39723
66098	E9Q4M4
66098	Q91VN4
851252	Q3E793
851255	Q01329
851254	P39726
851256	P39727
429	P50553
844241	A0A178WJZ4
844241	A0A1P8ATA1
844241	F4IDH2
844241	Q9C5X9
844242	Q42599
844243	Q8GYQ9
79603	Q53HF9
79603	Q9HA82
844245	A0A178WET2
844245	P27202
844245	Q0WWI7
446464	Q6DEC2
844247	O64545
421	C9JJX6
421	E9PDC3
421	O00192
420	Q93070
154091	Q8TD20
427	A8K0B6
427	Q13510
427	Q53H01
243897	A0A140LI02
243897	G5E8M4
243897	Q80WJ1
50772	Q61532
841559	A0A178WGQ3
841559	Q3ECS5
83409	Q9JHS3
852504	P38130
852506	P38310
852507	P32528
852500	P38307
852501	P38132
852502	P38308
852503	P38139
228869	B7ZC24
228869	Q91W39
856618	P38894
833889	Q9FMA5
856614	P38890
856615	P38891
856616	P38892
856617	P38893
856610	P0CX35
856610	P0CX36
856611	P38888
856612	P11792
856613	P38889
32805	Q9VWX2
32806	Q9VWX1
32800	Q9VWX7
32801	Q9VWX6
3885792	C6KT13
387496	Q6T310
3361337	Q9Y824
51588	B3KMR4
51588	Q8N2W9
55008	Q8IVU3
3361330	Q6BDR8
51582	A0A024R9C7
51582	B3KTF6
51582	O14977
55002	A0A024RE09
55002	Q6UWJ1
51586	B3KWF1
51586	B7Z2H7
51586	G3V1P5
51586	Q6PKB8
51586	Q96RN5
55006	Q9BVS5
181556	G5EEM6
55004	Q6IAA8
2542109	O94457
2542108	P28189
73296	Q9CTN4
2542103	Q10294
2542102	O14285
2542105	Q9P7E9
2542104	Q9URY5
2542107	Q9P7V5
2542106	O42634
179403	A5JYT1
179403	I2HAH0
179403	Q21701
440574	A0A087WU07
440574	Q5TGZ0
838469	A0A178WEW3
838469	Q9M9V7
812127	A0A144A4E0
812127	Q7KQL8
812127	Q9NFK9
51631	Q9Y383
446284	A0A1L8FVC0
446284	Q2TAW0
51633	A0A087X0W9
51633	Q8N6M0
51634	Q9Y388
51635	Q9Y394
51637	Q549M8
51637	Q9Y224
815822	A0A178VX39
815822	Q56YA5
51639	Q9Y3B4
150864	Q6P1L5
150864	Q7Z3M2
326624	A0A024R8K6
326624	B3KPZ5
326624	B7Z3L0
326624	Q96AX2
27129	Q9UBY9
27128	B4E2V8
27128	Q9UIA0
27121	Q9UBT3
27120	A0A140VK15
27120	Q9UK85
27123	Q9UBU2
27122	F6SYF8
27122	Q9UBP4
27125	Q9UHB7
27124	A0A087WVS7
27124	B4DF95
27124	Q15735
308113	Q5SGD7
25417	F1LNT0
25417	Q62951
25416	P47942
25415	Q62950
25414	Q63767
163049	Q3KP31
25418	Q62952
74111	Q8R3C6
74112	Q99LG0
853679	P34240
853678	P34239
74117	Q3ULF7
74117	Q99JY9
853675	P34237
853674	P05740
853677	P06783
853671	P12866
853670	P22515
853673	P36038
288663	F1M049
139105	B3KXX8
139105	Q8NDZ0
75869	Q6NXZ5
75869	Q9D4P0
39970	M9PFU2
39970	Q9VVJ8
39972	Q9VVK3
39974	Q9VVK2
41047	Q9VHL9
39979	Q9VVK8
39978	Q9VVK7
99890	Q6NZB1
32116	Q0KHT4
32116	Q9VYV9
836169	Q9FKJ9
32114	Q9VYW2
32115	P35992
32112	Q9VYW4
32113	Q9VYW3
32111	M9NED4
32111	M9NF18
32111	Q9VYW5
836161	A0A178WJC9
836161	P0DH99
836161	Q0WL56
836161	Q8GTY0
836161	Q8W4H7
836163	Q680Q4
297336	B2GV41
836165	Q9FKK2
836166	A0A1P8BF20
836166	Q9ZTX9
32119	M9PGW8
32119	M9PHA0
32119	M9PHL6
32119	Q8IR86
32119	Q9VYV8
100362725	D3ZG85
173808	Q19325
173807	Q19324
138151	A0A024R8I0
138151	Q96BF6
56061	O14562
56062	A5PKX1
56062	Q9C0H6
56063	B4DHR3
56063	Q8WY98
195823	A0A0R4IQN8
195823	B2GPE2
195823	Q8JIU7
389524	Q6EKJ0
57333	Q96D15
57332	Q9HC52
57330	Q99MR1
57337	J3QT09
57337	Q9BQF6
101861	Q8CIM8
57335	A1A525
57335	B2RCD9
57335	Q9HBT8
113189	Q8NCH0
57338	B4DIC1
57338	F8W9A3
57338	Q8WXH2
57338	Q96HD8
101869	Q99KD5
37564	A0A0B4K7L0
37564	Q9W252
37565	Q8MKK7
37565	Q9W251
37560	Q9W256
37561	A0A0B4LG88
37561	A0A0B4LGB9
37561	Q9W255
37562	Q9W254
831741	Q9LZV4
37569	Q9W247
3782	A0A087WYJ0
3782	A0A0A0MQW9
3782	Q9UGI6
84000	E9PRA0
84000	Q1RMF8
84000	Q9BYE2
3781	Q9H2S1
3786	O43525
25961	B4E059
25961	Q86X67
3784	P51787
3784	Q96AI9
3785	O43526
3785	Q53Y30
84008	P97846
3788	Q9ULS6
816806	A0A1P8AXG9
816806	C0SV56
816806	Q1PF16
41209	Q9VH60
4995	A0A126GVQ3
4995	P47893
4990	O95475
4990	Q6P051
41200	A0A0C4DHE8
41200	Q9VH69
41202	A0A0B4KFM8
41202	P04357
41203	Q9VH66
41205	Q9VH64
4998	B7Z8H0
4998	Q13415
4998	Q96F82
41207	Q9VH62
40159	Q7KUT5
40159	Q9VW41
40158	Q9VW40
345611	A1A4Y4
734525	Q4V7X6
25261	A0JPJ2
25261	P41135
40153	A4V243
40153	Q7JQ32
40152	Q9VW35
40150	Q9VW34
40157	A8JNV9
40157	B7Z084
40157	Q9VW39
40156	Q9VW38
40155	Q9VW37
40154	Q9VW36
37692	Q9W1S3
37690	Q9W1S5
226049	Q8BG36
2538717	O59778
455214	H2QC53
37698	Q8MSH5
37699	Q8MLS1
226041	Q8BZF8
226043	Q8VEH6
821456	A0A178VCM9
821456	Q93YN0
843169	Q9M9C5
3250	P00739
3251	A0A140VJL3
3251	P00492
837697	A0A178WFG4
837697	F4I8X6
3257	A0A0S2Z3U1
3257	A0A0S2Z3U9
3257	Q658M9
3257	Q92902
850933	Q05979
850930	P19073
850935	P13099
850934	P17214
850939	Q06001
850938	Q05998
232341	P83741
232341	Q7TPR2
29718	P49655
9645	O94851
837341	A0A178WCP0
837341	Q9SGE0
2870283	Q5AYX5
821027	A0A178VH92
821027	A0A178VIU6
821027	A8MS70
821027	Q682B6
821027	Q8W191
837344	A0A1P8ANX9
837344	A0A1P8ANY8
837344	F4HW02
819195	A0A1P8AXN9
819195	A0A1P8AXP7
819195	O80832
837349	Q9SGD1
837348	A0A178WDI2
837348	Q9SGD2
285966	A6NFQ2
814239	Q8IDH2
32035	H0RNL3
32035	Q9VZ40
32035	X2JES6
38769	D5AEK4
38769	E1JI49
38769	E1JI50
38769	E1JI51
38769	E1JI52
38769	E1JID9
38769	E1JIE0
38769	E1JIE1
38769	E1JIE2
38769	E1JIE3
38769	M9ND55
38769	Q86BH1
38769	Q8MT89
38769	X2JC42
38769	X2JCL0
38769	X2JGC3
38768	Q9VS07
38762	Q9VS01
38760	O02373
76742	Q3UHD6
38765	P20353
836863	A0A178UAF6
836863	Q9FGQ5
19951	P62911
18171	O54915
18171	Q0P525
18173	P41251
18175	Q80XB4
18176	Q3TMF4
18176	Q4FJP3
18176	Q9D091
286133	Q6ZMJ2
203547	Q3ZAQ7
3811	P43629
3811	Q5UCE2
3811	Q6H2G3
3811	Q8N6C9
9762	O60299
853421	Q00618
23499	Q6ZSD7
23499	Q9UPN3
234699	A0A0R4J1Q0
234699	G5E896
234699	Q3UJB9
838856	A0A178WCV0
838856	Q9SK92
2543391	P31318
3817	A0A024R4J4
3817	A0A024R4N3
3817	B4DU77
3817	P20151
855145	Q04487
855144	Q04477
855147	P54074
853423	P47061
855141	Q04471
855140	Q12676
855143	P38011
855142	Q04472
339229	I3L208
339229	Q5BKU9
855149	P38009
11863	P53762
11863	Q3ULM2
2543396	O14175
811112	Q8I5Y6
525	P15313
526	A0A140VK65
526	P21281
527	P27449
811116	Q8I5Y2
853426	P47063
522	P18859
522	Q6IB54
522	Q6NZ59
523	P38606
14813	A2A6S2
14813	Q01098
100532736	P41271
2543394	Q9HDX9
528	A0A024R9I0
528	P21283
529	P36543
529	Q53Y06
37095	A1ZB56
33777	Q9VMQ5
830939	A0A178UIN4
830939	Q93VH5
37097	A1ZB58
819199	Q8GUH1
54259	P97573
5053	A0A024RBG4
5053	P00439
83940	A0A0D9SGD3
83940	Q6P1N9
778332	Q5DK69
34626	Q9VKB9
6509	P43007
6508	P48751
4349638	Q2RB59
855526	P40168
6503	Q13239
6502	A0A024R069
6502	Q13309
691149	B2GUZ5
6500	P63208
6507	A0A024R050
6507	A0A087WT87
6507	A0A087X0U3
6507	B4DF14
6507	P43003
6507	Q7Z5T0
6507	Q8N169
6506	A2A2U1
6506	P43004
6505	P43005
6504	Q13291
144165	A0A024R0W7
144165	B3KVG3
144165	B3KVG6
144165	Q96MT3
5740349	A8JQT1
5740349	Q0IGY5
814698	A0A178VZH4
814698	F4IPA6
814698	Q9ZU97
39493	A0A0S0WP14
39493	Q0E8F0
39493	Q9VU53
12815	I7HJS8
12815	Q64739
39491	M9PFH7
39491	Q9VU51
39496	Q9VU59
39497	Q9VU60
39494	E3W289
39494	P05623
814691	Q9ZU90
2540486	O74347
132	A0A140VJE0
132	P55263
170644	Q4G0F8
842629	A0A178WL51
842629	Q949Y1
2540487	P41836
815126	Q8S8A2
855520	P40164
2540484	Q9Y7L1
815120	A0A178VV24
815120	Q9SIB9
89	A0A087WSZ2
89	B4DZQ2
89	Q08043
39142	Q95SX8
184253	O17776
39144	Q9VT44
39145	M9PC19
39145	M9PEP9
39145	M9PEZ3
39145	M9PHX5
39145	Q8IQC8
39145	Q9VT45
39145	Q9VT47
39147	M9PEQ4
39147	Q7KUD6
39147	Q7KUD7
39147	Q86PD2
39147	Q8IQD4
39147	Q8IQD5
39147	Q8IQD6
39147	Q9VT48
177915	Q21875
177914	G5EGG8
177914	L8E822
177914	Q95Q25
2540481	O74803
314384	A0A0G2K366
314384	D3ZY17
35878	A0A0B4LFU9
35878	Q9XZ31
31398	Q9W4I3
31395	Q9W4I6
31395	X2JCJ0
35875	A0A0B4KEH1
35875	Q7K0V7
31397	M9PH26
31397	Q9W4I4
855528	P53870
31391	Q9W4J1
31390	Q9W4J2
31393	Q5BI31
3799972	Q2V2P7
3799971	Q2V2P8
3799970	Q2V2P9
3799977	Q2V2P1
3799976	Q2V2P3
3799975	Q2V2P2
2542688	O13995
3799978	Q2V2P0
84826	Q587I9
831343	A0A178UP40
831343	Q93VK7
2876142	Q5BGG7
84823	Q03252
831344	F4K895
831344	Q9LFR3
288584	P84817
831349	Q9LFQ8
831348	A0A1P8BA83
831348	Q9LFQ9
500261	Q4L1J4
500262	B1H285
500262	F8WFZ9
2539208	P38938
2539209	O74630
4176	A0A0S2Z4A5
4176	C6EMX8
4176	P33993
17279	Q61846
4170	A0A087WT64
4170	C8YZ26
4170	Q07820
4171	P49736
4172	B4DUQ9
4172	J3KQ69
4172	P25205
4173	B3KMX0
4173	B4DLA6
4173	P33991
2539200	Q10430
2539201	Q7Z9I1
2539202	O74426
114889	A2AQX5
114889	Q91V10
4179	P15529
2539206	Q9P7J8
2539207	P36599
3638524	A0A1D8PKT0
39521	Q8IQJ9
39521	Q9VU85
342931	A6NLU0
317987	Q8SX81
57456	A0A024R2T2
57456	Q96AT1
348938	Q0D2K0
841436	F4I4Y5
841436	F4I4Y6
39780	Q9VV02
852265	P16892
852264	P32319
852266	P32316
852261	P38206
852260	P13434
852263	P38208
852262	P38207
829124	A0A178UYP5
829124	Q9SZV4
2543021	A4CYJ4
2543021	Q09668
33275	Q9VPV3
852269	P32786
397698	B7ZRS2
397698	O73630
2543020	O42652
43541	A0A1B2AIW9
43541	Q9NIP6
43542	A0A0B4KHH9
43542	P19334
43542	U3PXB8
43543,43544	A0A0B4LHX9
43543,43544	C0HKF7
43543,43544	C0HKF8
43547	Q9VAD6
43546	Q9VAD7
43549	Q9VAD4
172733	Q94361
821357	Q8LPQ5
172737	K8F7T2
172737	Q94420
172734	Q94360
10725	A0A024R734
10725	O94916
187076	P34509
100042025	D2KHZ9
100042025	P16858
329828	Q69ZQ1
838318	A0A178WKX5
838318	Q570U6
822540	Q9MBG5
