yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF65D	Entry
23324	B7Z754
23324	E9PCD7
23324	Q9Y2E5
2655401	C0H4R0
70294	Q3U3G2
70294	Q91YL2
843165	A0A178W8G6
843165	Q9C9H1
128312	Q8N257
820032	A0A178V9S6
820032	Q93YQ1
820036	Q67XT3
843167	Q9M9C3
363228	A0A0G2JZU6
363228	D3ZRB9
89789	O08984
246184	A0A024R832
246184	Q8NHZ8
246181	Q8NHP1
5593	A0A140VJM3
5593	B4DLF9
5593	B7ZA25
5593	Q13237
41398	Q7KSQ2
41398	Q8INJ8
41398	Q9VGK8
5592	Q13976
12022	Q9ER42
837898	A0A178WKX4
837898	Q9FX59
41392	A0A0B4KG85
41392	Q9I7K0
41393	Q7KSP9
41390	Q9VGL8
45830	Q9VIE7
41397	Q9VGL0
41394	Q7YZ91
41395	Q9VGL2
836697	Q6NMN6
836695	Q0WQX9
36699	P40946
36698	Q5BI03
836690	Q9LSL1
836691	A0A178URZ9
836691	Q8LFK6
36695	A1Z9Z6
36695	A1Z9Z7
36694	A0A0B4LF73
36694	A0A0B4LFE7
36694	A0A0B4LGJ2
36694	A8DYE2
36694	B7YZH3
36694	B7YZH4
36697	A0A0B4K739
36697	Q24595
36696	B5RIL2
36696	Q9V7A7
83823	Q9Z254
495260	Q5XGX6
36692	O44386
317371	G3V9K5
89781	A8K2E6
89781	Q6P1K3
89781	Q9NQG7
89780	P56704
202915	Q6ZMB5
84449	B3KSN8
84449	Q96JL9
84448	A0A140VK02
84448	Q6H8Q1
41642	Q9VFW3
41643	O46108
41644	A0A0B4KFY8
41644	Q0KI76
41644	Q8INH2
837543	B9DHH5
837543	Q2V4P2
837543	Q9M439
41646	Q9VFV9
41647	Q9VFV8
84441	Q8IZL2
84440	Q86YS3
84443	Q5JV73
837542	A0A1P8APA3
837542	A0A1P8APA5
837542	A0A1P8APB7
837542	A0A1P8APE4
837542	B3H7M6
837542	B9DFH1
837542	F4I2Q0
837542	Q93Y32
84445	B4DP66
84445	Q9BRK4
84444	Q8TEK3
84447	Q86TM6
84446	Q8TDC3
83795	D6RC57
83795	Q96T55
88	F6THM6
88	P35609
88	Q59FD9
83797	Q61466
83797	Q68FH8
123591	Q2M3C6
840380	Q9S9Z8
81	A0A0S2Z3G9
81	O43707
86	O96019
87	A0A024R694
87	P12814
388512	Q6ZS10
836525	A0A178UC65
836525	F4KC80
836525	P49107
836526	A0A178UAG6
836526	Q9FEA2
836527	A0A178UG27
836527	Q9FMJ1
836528	A0A1P8BC59
836528	Q9FMJ0
319924	B2RUJ5
33317	P54185
33314	Q9VPZ7
33313	Q9VPZ5
33312	Q9VPZ4
33310	Q9VPZ2
395512	F1N9Q3
779356	A0A1L8I0J5
779356	A0JMY9
33319	M9NDC7
33319	O96860
33318	Q9VQ00
15525	Q3U2G2
8208	Q13112
8209	A0A096LNH5
8209	A0A140VKB0
8209	F2Z2Q0
8209	P30042
15528	Q4KL76
15528	Q64433
8204	A8K171
8204	P48552
76267	Q920L1
8202	Q59EE8
8202	Q9Y6Q9
8200	F1T0J1
8200	P43026
7625	A8K5P3
7625	Q05BG0
7625	Q16587
379969	Q7ZX12
7627	Q68CU0
7627	Q96N20
361527	Q5FVH2
7629	A0A024RCU3
7629	A0A024RCW5
7629	P36508
446796	A0A1L8EXB8
446796	Q6DD06
399340	B7ZQS1
399340	Q03413
287835	Q5RKH2
174070	A0A1C3NSK0
17357	P28667
174076	H2KZH5
174076	Q65ZJ1
174074	Q10020
91603	Q96NB3
37124	Q7JUX9
179554	Q22557
100505741	Q5VX52
38203	Q8T0T9
37121	A1ZB86
37122	A0A1B2AJR6
37122	Q9V8I2
37123	Q7KLW9
318579	Q8SZ30
12028	A0A1B0GT81
12028	Q07813
12028	Q544Z6
1497013	Q9QJ49
318572	Q8IMM9
40513	Q9VNP4
40512	Q9VNP5
31987	Q8MQW8
40517	P35220
40517	X2JBG9
40515	M9NE05
40515	M9NEJ8
40515	M9NGD9
40515	M9PGA2
40515	Q0E8B8
40515	Q9VNP2
40514	Q8IG95
40514	Q9VNP3
44879	Q7JXA8
822306	Q9LW20
14433	A0A0A0MQF6
14433	D2KHZ9
14433	P16858
14432	P06837
7562	P17019
832102	Q93VS8
400793	A1L170
38095	Q9W0M5
38094	Q9W0M6
38097	M9PDS1
38097	Q9W0M3
38096	B9EQV3
38096	Q9W0M4
38091	P18491
38090	M9PBH2
38090	Q9W0N1
38093	M9PDJ8
38093	Q9W0M7
319191	B2RVF0
319191	C0HKE1
319191	C0HKE2
319191	C0HKE3
319191	C0HKE4
319191	C0HKE5
319191	C0HKE6
319191	C0HKE7
319191	C0HKE8
319191	C0HKE9
319190	Q64524
38099	Q9W0M1
38098	M9PGM7
38098	Q9W0M2
38098	X2JCA9
319195	Q6ZWZ7
2539932	Q9P6R3
2539933	O74761
2539931	Q09749
2539936	O74325
2539937	Q9Y7Z2
2539934	O42910
819708	A0A1I9LQQ5
819708	Q9MA56
819707	Q9MA55
2539938	O74760
2539939	Q9USZ8
109815	Q9BCZ4
819702	Q6A333
158055	Q8N9P6
158055	Q96NJ1
819700	Q9MA83
2542434	Q10348
834585	Q9FHI7
834587	Q8VZC7
843609	Q9CAJ0
13808	P21550
843605	A0A178WL55
843605	Q9CAI7
827876	A0A178UZL2
827876	Q07970
13806	P17182
13806	Q5FW97
811556	Q8I4R0
13800	A0A0A6YW06
13800	E9QKQ9
13800	E9QLZ9
13800	Q03173
13803	O35709
843602	A0A178WGF7
843602	Q9SGG3
11201	Q9UNA4
830696	A0A178UED9
830696	Q9SD82
830690	A0A178UBI2
830690	Q0WU11
830690	Q9SD88
830693	A0A178UNZ9
830693	Q9SD85
1580	B4DV41
1580	P13584
1580	Q8IZB0
830699	A0A178UDZ5
830699	Q9SD79
38323	Q9VZZ6
38322	Q9VZZ8
38321	L7RZC6
38321	Q9VZZ9
38327	Q0E8J0
38326	D2NUH5
38326	Q9VZZ4
38324	M9PED1
38324	Q9VZZ7
379418	Q7SZA5
38328	Q9VZZ2
116509	P28572
116508	Q07310
5740700	E2QD54
5740700	Q4V427
840032	C0LGF4
840032	F4I9D5
116502	Q9JK59
116501	G3V6D9
116501	Q920G2
116500	Q9JI56
116506	A0A0H2UHI1
116506	A0A0H2UHI3
116506	P32214
116504	A0A140TA95
116504	G3V9F3
116504	Q9ERE6
825654	O64425
180050	G5EBG8
180050	G5EEG5
180050	H9G305
11520	P43883
11520	Q3U711
825653	F4JG94
825653	Q9SEU8
43099	A0A0B4KHV9
43099	Q9VBN9
43098	Q9VBP0
43096	Q9VBP2
43095	A0A0B4KI19
43095	Q9VBP3
43093	Q9VBP5
43092	Q9VBP6
43091	Q9VBP9
840036	Q9C863
43354	Q9VAY2
840034	Q9C865
130560	Q8NHX4
835189	Q9LU59
287007	F1MSE1
835183	A0A1P8BBJ5
835183	A0A1P8BBK0
835183	A0A1P8BBM1
835183	Q9LU64
65125	A5D8Z4
65125	F5GWT4
65125	Q9H4A3
65124	Q53LP3
65123	Q68E01
835186	A0A178U874
835186	F4KBV2
835186	F4KBV3
835186	Q93VI4
835185	A0A178UCR6
835185	F4KBV0
835185	Q9LU63
150223	A8MPS7
839409	A0A178WEG0
839409	Q9MAT0
64656	Q3TI14
64656	Q8VE22
71720	D3YTT6
71720	D3Z194
71720	F8WH20
71720	Q9DBS9
64654	Q3U1V5
64654	Q9EPC2
839401	A0A178WFD8
839401	O23702
64652	Q80TM9
64652	Q8CF63
181400	P54936
839405	A0A178W5L2
839405	B9DGT7
839405	Q0WV25
2540634	O43050
254251	A0A1B0GVP4
254251	B4DSW0
254251	Q8N3X6
3644455	Q59WC9
19076	P33610
304522	A0A0G2JUJ2
362273	D3ZPR0
181405	Q20435
3346227	Q59DZ4
500084	Q7TP39
399129	O93310
181408	Q8MQ12
181408	Q9XXK5
821029	Q9LUN5
821028	A0A178VF31
821028	Q8RXW0
69159	Q9D8T3
11172	Q9Y581
821020	Q9LUP4
3783773	A0A0C7THX3
3783773	P03217
821025	A0A1I9LPZ2
821025	F4J581
821025	P93045
821025	Q2HIG1
191409	A0A0K3ASK8
191409	A0A0K3AVF6
191409	O44577
821026	A0A178V8S2
821026	D3K0M2
821026	Q8H174
842266	A0A178WRN3
842266	Q9XIF4
22852	Q9UPS8
842260	F4ID20
842262	A0A178W7X5
842262	A0A178W7Y8
842262	A0A1P8AQI0
842262	Q9LQ43
842262	Q9XIF7
842263	Q0WQW5
842268	B9DGM9
842268	F4ID31
842268	Q8L7G0
842269	Q9XIF2
78920	Q9D2G2
52440	Q3UKC1
42249	P07668
3177	G5E943
3177	Q14542
3177	Q96FB2
17274	P55258
17274	Q0PD50
831257	Q9FMU2
831256	A0A178UC77
831256	Q8LF89
10636	A0A024R7N4
10636	O43566
831253	Q9LZ08
831252	A0A178UMU4
831252	Q9FMU6
831251	A0A178UED6
831251	A0A1P8BF69
831251	Q94BY3
831250	A0A1P8BHC4
831250	A0A1P8BHD4
831250	Q0WSL5
9270	B4DQY5
9270	O14713
9271	A0A024RBS5
9271	Q96J94
841519	A0A1P8AWN0
841519	A0A1P8AWQ9
841519	F4I7Y2
9274	Q8WUZ0
10728	A0A024RB32
10728	A0A087WYT3
10728	B3KUY2
10728	Q15185
9276	P35606
9277	A0A1U9X8W1
9277	A8K806
9277	B4DP15
9277	O15213
9278	A0A1U9X8V3
9278	O15209
10724	O60502
10726	Q9Y266
10721	O75417
10721	Q59EE4
856782	P00498
939930	P17903
49580	Q9VH19
152485	B3KSR1
152485	Q17R98
818546	A0A178VSH0
818546	A0A1P8B2F2
818546	F4IVY1
818546	Q9SLN0
65003	Q9Y3B7
12389	P49817
12388	E9Q8Z5
12388	E9Q8Z6
12388	E9Q8Z8
12388	E9Q905
12388	E9Q986
12388	G3X9V2
12388	P30999
818540	A0A178VS16
818540	O80642
353242	Q9D1N9
54840	Q7Z2E3
176001	Q21233
176001	Q8MQ11
12387	Q02248
54843	A0A0U1RR07
54843	Q9HCH5
176004	Q21234
54845	Q6NXG1
176006	P48150
176007	P49181
64384	Q4FJK3
64384	Q8R104
64386	Q9NPA2
824014	A0A178VHF7
824014	A0A1I9LLT9
824014	Q9SMP3
824012	Q8LBB2
824011	A0A178V8H3
824011	Q9SMP5
64383	Q8VDQ8
824019	A0A178V5Y7
824019	Q9SMP0
820776	A0A178VC47
820776	A0A1I9LSN2
820776	Q9LDJ3
378615	Q9YGY4
820775	A0A178VJ83
820775	Q9SEU6
362634	A0A0H2UHK1
362634	P31722
362636	A0A0G2JUQ8
362636	Q76LT8
820771	A0A178VJJ5
820771	F4IYQ2
820771	O22433
824725	Q6NKR3
58092	Q8AY15
42440	E1JIR1
42440	Q9VDK6
824727	A0A178VF78
824727	B3H5E3
824727	P54888
829564	P42753
829567	A0A178URT7
829567	Q9M7I9
829562	A0A1P8B7W7
829562	A0A1P8B7X0
829562	A0A1P8B7X2
829562	A0A1P8B7X3
829562	A0A1P8B7X5
829562	A0A1P8B7Y7
829562	A0A1P8B7Z1
829562	F4JKK8
829562	F4JKK9
829562	F4JKL0
829563	A0A178V2Z8
829563	Q945K9
157506	A0A024R7X6
157506	Q8IZV5
829568	A0A178UWV4
829568	O49485
829569	O49484
13386	B4YB46
13386	B4YB48
13386	G3UWU8
13386	Q09163
13386	Q925U3
13386	Q9DAU5
162655	Q8TB69
13385	Q62108
13382	O08749
13383	D3Z3B8
13383	E9Q9H0
13383	H7BWY4
13383	Q3UP61
13383	Q811D0
13380	O54908
380304	Q7ZXW7
73284	B2RVG4
73284	Q8VHZ5
3770591	A0A178UUC1
3770591	Q2V2S7
13388	Q61483
13389	O88516
13389	Q3UND5
851141	Q06409
851140	O13563
851143	Q06411
851142	Q06410
851145	Q06412
2541897	O13959
851147	Q06436
851146	Q06417
2936	P00390
2936	V9HW90
851148	Q06440
2934	A0A0A0MS51
2934	A0A0A0MT01
2934	B7Z4U6
2934	P06396
2935	B2RCT6
2935	P15170
2935	Q7KZX8
2932	P49841
2932	Q6FI27
827093	A0A178UZ13
827093	Q8GWQ2
2931	A0A024R0L5
2931	P49840
360971	G3V728
360971	Q5EBA4
11898	P16460
11898	Q3UJ34
69587	Q8BTQ0
153657	Q6PF05
11891	Q544U7
11891	Q9ERI2
171990	O01761
337879	Q8IUC2
20186	Q3V1T8
20186	Q60641
20187	H9H9R6
20187	Q01887
20187	Q8K272
20184	A0A0R4J073
20184	A0A0R4J183
20184	Q5U5Q9
20185	Q5PRE9
20185	Q5RIM6
20185	Q8BK32
20185	Q8CHB6
3355094	A8Y4U4
3355094	D2A6J2
3355094	D2A6J3
3355094	Q7PLS1
3355094	Q8SZ06
20183	E9Q9V9
20183	P28705
3355096	Q8MRW1
20181	A2AJP1
20181	P28700
20181	Q3UMU4
20181	Q6LC96
158880	Q70EK9
79114	Q04589
79114	Q63827
79113	Q6P6U0
129446	A4UGR9
13030	P10605
207259	Q8VCZ7
13033	P18242
13033	Q3UCD9
185827	Q93730
178120	Q27394
178122	G5EGN2
178125	Q23615
447576	A0A1L8HCV3
447576	Q66IV6
817564	A0A178VWA9
817564	A0A1P8B1N9
817564	A0A1P8B1P6
817564	A0A1P8B1P9
817564	F4IMQ0
544213	P93212
54151	H3BIV6
54151	Q9QXA1
820408	A0A178VFS5
820408	A0A178VHJ9
820408	F4J8Q4
820408	Q9LKZ3
3646147	Q59RB7
3636466	Q5AK08
20238	J3QPR1
20238	P54254
175066	G5EG14
820409	Q9LHH7
3448	P01570
20230	E9PVB7
20230	Q60611
828217	A0A178UZ74
828217	O22764
828213	Q9ZST4
29780	A0A087WZB5
29780	Q9HBI1
67657	Q9D4V7
828219	A0A1P8B7A6
828219	O22763
29789	Q9NTK5
23521	P40429
23521	Q8J015
23520	O43423
23523	A0A024R1E5
23523	A0A087WWW8
23523	Q9Y6J0
23522	B2RWN8
23522	Q8WYB5
23524	A0A140VK53
23524	Q9UQ35
23527	Q15057
23526	B3KVA9
23526	B3KXW7
23526	F5H1R4
23526	K7ES92
23526	K7ES98
23526	Q8IYN3
23526	Q92619
23529	Q9UBD9
23528	B3KMX4
23528	Q9Y2X9
66525	Q9D880
66523	Q8CIL4
66523	Q9CSU7
188252	A0A1N7SYU8
188252	A0A1N7SZ15
188252	Q22328
66521	Q9CQK7
51528	A0A024R666
51528	A0A087WVY6
51528	B3KPC2
51528	G3V2M4
51528	Q9P055
51529	A0A024R8S1
51529	A0A087X1B5
51529	Q9NYG5
811554	Q8I4R2
303251	D3ZB71
51520	B4DER1
51520	B4E266
51520	Q9P2J5
51522	A0A024R001
51522	Q9P0S9
51523	Q7LFL8
51524	J3QSZ6
51524	Q9NPI0
85013	B7Z3K1
85013	Q5BJH2
303259	A0A0G2JV77
303259	F1LN69
51527	A0A024R6P6
51527	Q9P0R6
2540411	Q92338
2540410	O74798
2540412	Q9P7R3
2540415	O13670
2540414	P27584
2540417	Q9P7L7
2540416	O74363
2540419	O13671
59057	Q91VN1
160419	F8VSD7
160419	Q8NA57
85014	Q96I45
728194	B2RC85
820406	A0A178VFH3
820406	Q9LHI0
388650	A0A087WZ97
388650	A0A087WZK6
388650	A0A087X2C2
388650	Q5T7M9
830641	A0A178UK21
830641	Q1PDZ2
80024	Q6J4K2
217069	Q3TU94
217069	Q61510
74600	Q8K2Y7
824895	A0A178VHH9
824895	Q93V66
8567	A0A0A0MRB5
8567	Q8WXG6
8566	F2Z2Y4
8566	O00764
8566	V9HWC3
8565	A0A0S2Z4R1
8565	P54577
8564	A8K693
8564	O15229
8563	A0A024R1D6
8563	Q13769
8562	A0A024RBR3
8562	O43583
839065	F4I9A9
839065	Q9FYL3
8560	A0A024R3P1
8560	O15121
3684137	A0A1U8QJB5
3684137	Q5AQ92
27185	C4P094
27185	C4P096
27185	C4P098
27185	C4P0A4
27185	C4P0A5
27185	C4P0C4
27185	C4P0C8
27185	C4P0D0
27185	C4P0D1
27185	C4P0D2
27185	C4P0D3
27185	Q9NRI5
51181	Q7Z4W1
27183	A0A024R705
27183	Q9UN37
8569	A8K341
8569	Q7Z319
8569	Q9BUB5
8568	P56182
100158408	Q08AV3
100158407	A0A1L8EX62
100158407	Q08AV6
34735	M9PD33
34735	Q9VK07
174330	P47208
288666	B2RZ78
174336	Q21562
174337	K8ESB4
174337	K8F7W9
174337	Q21563
174339	A5JYS2
174339	Q20611
221357	Q7RTV2
35774	Q7KK97
35773	A0A0B4LET7
35773	Q7JVE7
50433	Q9VLL8
50432	M9PCE2
50432	Q9VLL9
65078	Q9BZR6
841926	A0A1P8AU36
841926	Q9FZ42
51388	Q9Y221
51389	Q9H446
32209	A8JUU1
32209	A8JUU3
32209	M9PHF1
32209	X2JEM2
32209	X2JEY9
32209	X2JJP5
220082	A0A140VJV5
220082	Q8NA61
32207	E1JJM7
32207	E1JJM8
32207	H5V8E7
32207	Q8IR79
51386	B0QY90
51386	Q9Y262
32205	B7Z143
32205	M9PHN7
32205	Q9VYL7
32202	M9PEE4
32202	Q7KV33
32202	Q9VYM1
32202	X2JDE5
32203	M9PGZ2
32203	Q9VYM0
55603	Q96IP4
55602	B3KTW3
55602	J3KNE1
55602	Q9NXV6
22690	P10078
22690	Q69ZJ8
816282	A0A178VVH3
816282	F4INM3
816282	Q8GT74
389015	Q6AI14
22693	D3Z614
22693	Q60585
22693	Q78FW7
22695	P22893
22695	Q3U3D2
816285	Q8VYV9
22697	Q07231
841922	A0A178WGU5
841922	Q9ZVL3
374900	A0A087WZ84
374900	A2VDJ6
374900	Q3ZCX4
374900	Q96AZ9
26580	A0A024R540
26580	A0A024R549
26580	Q96G97
828387	Q0WWD6
828387	Q96323
414472	Q6NU95
26586	Q8WWK9
56550	P62838
56550	Q3UT95
26589	Q9H2W6
52874	A0A0N4SUH4
52874	Q8BKS9
828382	A0A178V3E9
828382	F4JMN0
828382	Q8GWI3
65246	A0A2I3BQV5
65246	Q9EPK7
65247	G3X9J5
65247	Q3U5A0
65247	Q9WV74
65244	A0A024R101
65244	Q86XZ4
80320	B3KXP2
80320	Q3SY56
65243	D3DPV3
65243	Q9UJL9
436915	Q6DHN6
402415	Q6PP77
65248	P54645
227683	B9EID1
227683	Q8BGB8
318952	M9NDR0
318952	Q8INZ6
318952	X2J6G8
75553	Q8BJ05
186592	O61881
54403	A2VDF7
54403	A7E1Z5
54403	E9Q8N8
54403	O88343
114467	A0A286Y8Q5
114467	Q6NZW9
290356	Q568Z9
498922	P63182
84304	Q9BRQ3
209462	Q3U0D9
286530	Q86VZ1
3634843	Q5APC1
835233	Q9FHM5
31224	E1JJB8
31224	M9PGC1
31224	M9PGJ2
31224	M9PGV0
31224	Q29R48
31224	Q7KVY9
31224	Q9W4Y9
31224	Q9W4Z0
3760	D2X9V0
3760	D2XBF0
3760	P48549
3761	A0A024R1L8
3761	P48050
3761	Q58F07
3762	P48544
3763	P48051
3764	A0A024RAV6
3764	Q15842
854309	Q12386
3766	P78508
3767	B2RC52
3767	Q14654
3768	Q14500
854305	Q12212
854306	Q12242
854307	P20134
854300	P32913
854302	Q12128
854303	P28241
822740	Q9LI61
2542706	O14034
2542705	Q10440
2542703	O13988
2542702	O42878
2542701	O13987
2542700	O13990
289229	P84889
32377	Q9VY45
55957	Q96GY3
57609	Q7Z3H2
57609	Q96IB4
57609	Q9P265
57608	Q9P266
1804	A7E2E4
1804	B7Z299
1804	E9PDL2
1804	E9PF59
1804	P42658
1804	Q8IYG9
2543252	O36022
57602	A0A024R8V6
57602	Q9P275
2543250	O42877
2543251	Q10076
2543256	Q9UTS0
57606	A0A024R9T6
57606	Q9P270
2543254	Q9UTR8
2543255	Q9UTR9
2539380	O74855
837638	Q940G0
52123	Q9D1E8
19691	E9Q3N0
19691	Q3UUK0
19691	Q9Z129
837637	A0A178W474
837637	F4I7B6
837637	P43291
186343	P34465
146330	Q8N461
817628	O49342
53833	Q6UXL0
53834	A0PJ49
53834	Q8N441
36459	A0A0B4LF92
36459	A1Z9A2
185926	Q22983
102920	Q3TTB0
102920	Q8K1K4
36455	Q7K0L8
36454	Q7K2L1
817625	O49339
54511	B7Z212
54511	O95896
54511	Q8TB92
54511	Q9NT06
19698	Q04863
19698	Q8K220
352954	A0A087WV49
352954	Q8NAP1
72649	Q8BRG8
72649	Q8C214
54516	B4DMX1
54516	Q9UGC7
66422	Q9QY93
948394	P32176
166614	Q8N568
50797	O55029
347902	A0A024R127
347902	Q86SJ2
441518	Q17RB0
54518	Q7Z5R6
34543	M9NEZ0
34543	Q9VKJ9
79744	Q96HQ0
432348	Q6IR57
855203	P38920
855200	Q03825
55686	Q8N565
233904	E9PYH6
100361133	D4A7F2
116835	B4DLR4
116835	B7ZLP2
116835	Q5BKZ8
116835	Q5JX83
116835	Q96MM6
387119	Q3ZCQ5
387119	Q5SZL2
34546	Q9VKJ6
6833	Q09428
6832	B7Z611
6832	Q8IYB8
6830	Q7KZ85
6837	A0A024R8C5
6837	Q15528
6836	B7Z1G8
6836	B7Z7A8
6836	O15260
6835	Q15527
6834	A0A087WYS9
6834	E5KRX5
6834	Q15526
6839	O43463
6838	O75683
380469	A0A1L8FS57
380469	Q7ZXB5
2540945	Q9Y7Y5
647024	Q5T0Z8
853932	P36143
853933	P10081
853930	P33753
59141	Q9I7L0
853936	P36145
853937	P36146
853934	P36144
853935	P33550
850370	P00560
853938	P36023
850372	P25615
850375	P25617
34549	Q9VKJ3
34549	X2J9F3
850377	P09007
850376	P25618
187434	Q21501
179709	H2L2C8
179709	H2L2C9
179709	Q23158
179709	Q9XVU8
832714	A0A178ULL2
832714	Q949Z2
33669	Q9VR17
33668	Q9VR18
33668	X2JD52
18260	B2RS24
18260	Q61146
269713	Q9Z0H8
37325	Q7JZC9
512439	A0A1K0FUD3
512439	P01966
33661	Q9VR09
389799	A2A393
389799	Q6ZQR2
175284	Q95Y72
822143	A0A178VEX6
822143	F4JA15
822143	F4JA17
822143	Q8RY65
822141	Q9LSU9
100725041	A0A286XUQ8
229542	Q8VHR5
229543	Q7TPD0
822149	Q7XA72
822148	Q9LI83
39438	B7Z0A9
39438	B7Z0B0
39438	B7Z0B1
39438	Q960W9
39439	E1JHZ0
39439	Q24248
116832	Q96EH5
