yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF3FI	Entry
23155	Q96S66
36625	A1Z9T0
36626	A0A0B4LFE1
36626	Q7K5M2
36620	Q4V4P1
36621	A1Z9S5
36621	A1Z9S6
36623	A1Z9S8
810822	Q8II99
421909	A0A1D5P9Z1
421909	Q5ZKG5
41612	A0A0B4KFY1
41612	A0A0B4KH05
41612	P05709
41611	Q9XYZ5
41610	Q9VFZ4
41616	A0A0B4KFU1
41616	Q9VFY9
41615	Q8INH7
163778	Q96PI1
83746	A0A0S2Z5X6
83746	Q969R5
399198	Q8AY68
83743	Q9BQ67
83742	Q9BSK0
83741	Q7Z6R9
83740	P0C5Z0
178547	A0A0K3ASX8
178547	A0A0K3AV81
178547	A0A0K3AY70
178547	Q17391
16549	Q3U0V1
100009132	P63148
178638	O44608
202658	A0A096LP39
202658	A6ZJ12
314432	Q5U300
29948	Q9UJX0
47611	Q7K569
818802	A0A1P8B0W4
818802	P93733
284390	Q0D2J5
284391	B4DSG8
284391	Q08AG5
15571	Q60900
175959	Q21209
8277	B7Z7I0
8277	P51854
175955	P45896
175953	G5EGQ6
175953	H1ZUX0
175953	H1ZUX1
175953	Q8I7J1
175952	Q8MNT0
175952	Q95QI2
175952	Q95QI3
283160	A0A126GVG3
283160	Q9GZM6
175950	Q8I7F8
831709	F4KCB8
831709	Q9LZ98
831708	A0A178UH31
831708	Q9M012
831700	A0A2H1ZE50
831705	A0A178UD43
831705	Q9LZV9
834746	Q9FJR1
174029	Q18320
233204	I6L974
233204	Q8BYH7
6239	A0A024QZU8
6239	Q92766
174023	Q18316
171017	Q8TF68
174026	H2KZ39
174026	Q9TZK1
174027	Q18317
84975	Q6N075
79648	Q8NEM0
779014	A0A1L8GIT7
779014	Q9PT63
117600	D3YZW1
117600	Q91Z69
117606	D3Z763
117606	Q6AZB0
822356	A0A178VKN5
822356	F4IWH1
822356	F4IWH3
822356	Q9LTZ4
822350	Q9LK22
12520	P35762
831653	Q9FKP2
7589	G3V0F4
7589	Q9Y5A6
831652	Q93ZT2
7584	P13682
7586	B3KNP9
7586	B3KRF7
7586	E9PC66
7586	P17029
7580	A0A024R7T7
7580	P17041
7581	A0A0A0MR11
7581	A0A0A0MRS1
7581	Q06730
7582	Q06732
219537	E9PPJ3
212706	Q8C7U1
834288	A0A0G4NSG5
834288	A0A178ULJ0
834288	Q9FMY7
834283	A0A178UPP5
834283	A0A1P8BG38
834283	P34795
734615	Q4V7I1
6232	P42677
834284	A0A178UI38
834284	Q9FMZ0
838709	Q9LPU8
65158	P05712
820888	O04316
65152	P47858
70361	Q9D0F3
2539961	Q9P6I1
2539960	Q00472
2539963	O75011
4961455	F5HAW0
4961455	Q76RF7
2539965	Q1MTR3
2539964	O94562
2539969	O74330
2539968	O14325
839000	F4I7N5
839000	Q945M3
283212	Q6PF15
4961450	F5HF36
4961450	O40921
15424	P32043
18706	P42337
2542158	Q10313
56508	A2ASW4
56508	A2ASW8
56508	Q571A8
56508	Q9CS95
56508	Q9EQZ6
2540844	Q9USX2
2540845	O94360
505064	Q5EA68
820867	Q9LU24
810876	Q8II45
52882	Q8BQP9
843560	Q0WSW0
843560	Q9C7S7
843561	Q9C7S6
843562	C0LGI8
843562	Q9C7S5
2542153	Q9UUJ8
116550	Q6PCU0
843568	A0A178W8F1
843568	B3H5K8
843568	F4IDA7
843568	Q8H0T5
843569	A0A178WNA1
843569	B9DG17
843569	Q08682
15426	P09025
834869	A0A178UIU3
834869	Q9LUB6
834868	Q9LUB7
834867	B9DGR4
834867	Q9LDL7
834864	Q0WVF8
16172	Q60943
286826	Q5TKA1
286826	Q6P142
19303	F8VQ28
19303	Q8VI36
16176	P10749
16177	P13504
16177	Q32MH0
16177	Q8C6P3
16177	Q8C833
51944	Q9D9Z1
16175	P01582
16175	Q3U0Y6
5915	F1D8S6
5915	P10826
5915	Q3SB16
5915	Q5QHG3
5915	Q86UC5
5914	A8K840
5914	A8MUP8
5914	F1D8N9
5914	P10276
5914	Q6I9R7
5917	P54136
5916	A8K3H3
5916	B7Z4B4
5916	F1D8P1
5916	P13631
5911	P10114
5910	B3KNU0
5910	P52306
5910	Q6U7G8
5913	A0A0S2Z4A2
5913	A0A0S2Z4A6
5913	A0A0S2Z4F8
5913	A0A0S2Z4M9
5913	Q13702
5912	P61225
15421	Q8K5B8
2543209	O14141
18844	P70206
2543208	Q9P3U2
841886	A0A178W683
841886	A0A1P8AVS7
841886	A0A1P8AVW8
841886	A0A1P8AVX1
841886	F4HWX0
841886	Q0WVE8
17220	Q3U4T8
17220	Q61881
17222	P53995
64689	A0A024R2U5
64689	B3KPY8
64689	B4E1H8
64689	Q9BQQ3
832428	Q9LT02
32164	Q9VYR2
30832	Q86Y25
60509	Q8NDL9
832421	A0A178UHA4
832421	Q9LT07
64680	D4A5C4
64680	P47866
832423	Q8VZJ5
64682	Q9H1A4
64685	O35309
64685	Q3UJ82
832424	Q42396
11750	A0A2C9F2D2
11750	Q07076
11750	Q3UYL7
11750	Q8CCV9
32162	A8JUT1
32162	Q9VYR4
53346	Q6P4D7
53346	Q9BZW5
220001	Q96DN2
9776	A8K0S6
9776	O75143
11689	P48999
117150	Q91XU3
148266	A0A024R0G4
148266	Q5MCW4
11682	P97793
29942	Q9UJV8
217331	Q3UYU7
217331	Q8BL48
16769	Q7TMD7
836132	A0A1P8BEW7
836132	F4JXG7
836132	Q9LVG4
23205	B3KNS7
23205	B7Z2Y6
23205	Q96GR2
124323	P62268
821071	Q8L7W7
64359	Q6DKJ4
64358	G3V8L6
2543207	O14137
836134	A0A178USN8
836134	A0A1P8BEK0
836134	A0A1P8BEK5
836134	F4JXG9
836134	Q9LVG2
2109	P38117
16796	Q543N3
16796	Q61792
16797	A0A0U1RP03
16797	O54957
16797	Q546H1
114803	Q5VVJ2
16792	Q544S4
16792	Q61168
826863	A0A178V1C5
826863	Q9S7U3
152789	B3KWB6
152789	Q96N16
80509	Q9CY05
80509	Q9D7W5
80509	Q9DAY7
826869	A0A178UW44
826869	Q9SU30
16798	Q8BYR2
42738	A0A0B4K6Y4
42738	A0A0B4K7D1
42738	A0A0B4KGS7
42738	A0A126GV12
42738	Q86B79
387609	Q8C0C0
190509	Q9U1V2
42730	Q9VCR0
42733	A0A0B4KH80
42733	Q9VCR3
42732	Q9VCQ8
42735	Q7KS50
42735	Q9VCQ6
42734	Q9VCQ7
42737	Q02936
42736	Q8T051
850641	P32350
850643	P04802
850642	Q3E731
850645	P14772
850647	Q07807
850646	Q12431
850649	P33750
850648	Q07804
20481	B1AUF1
20480	E9PY58
20480	Q3URM1
20480	Q60649
824593	Q940H3
45707	Q9W508
10799	A0A087X1N3
10799	O75818
841540	A0A178WK47
841540	Q9SYB9
510539	A4FUZ8
10797	P13995
10791	O95183
10791	Q6FG93
10793	Q14593
269261	P35979
269261	Q5BLK0
21687	B1AWS8
21687	Q02858
21687	Q80YS4
21685	Q9JLC6
21682	P24604
21682	Q3TH41
21682	Q3U436
21682	Q8CFK4
21681	O08583
30835	B2R907
30835	B4E2A8
30835	M0R0P0
30835	Q9NNX6
30835	X6RB12
305288	D3ZI35
818025	A0A178VTT3
818025	O64687
54819	B3KVL5
54819	B4DU89
54819	D6R9G7
54819	D6RHC2
54819	G3XAM1
54819	Q8TBK6
246694	E9Q3X4
246694	P59438
246694	Q640Q9
12338	O35646
12338	Q80VZ1
54813	A8K1E0
54813	J3KNY7
54813	Q9NXS3
837989	Q9M9T4
115106	Q96CS2
54810	Q8TF65
236643	A2AF58
236643	Q80T23
12331	P40124
54815	A0A024R7K7
54815	A0A024R7M6
54815	Q86YP4
54814	Q9NXS2
179229	O17004
245959	G3V741
245959	Q6IRH6
841896	A0A178W0W8
841896	Q9SLI0
2539683	Q9Y805
179225	H2L003
179225	H2L004
179225	H2L005
179225	Q3Y409
179224	G5EF15
29088	Q9P015
29089	A0A024R9A9
29089	Q9NPD8
10248	O75817
10249	Q6IB77
29080	Q9P031
10243	Q9NQX3
29082	Q9BY43
10241	Q13137
10246	A0A024QZY2
10246	O00624
29085	Q9NRX4
29085	V9HWC4
29086	A0A024R7L2
29086	J3KQS6
29086	Q9NWV8
10245	O60830
176563	G2HK05
176563	G5EGL2
176561	Q9NAH3
837986	Q6NQA8
176566	O18152
176565	Q9U357
149603	Q5TA31
2539688	Q9Y804
49860	Q9UBG3
49861	A0A140VKA2
49861	P56880
223922	Q3TZR9
223922	V9GXN6
2539689	Q9USY3
829511	A0A178V2N9
829511	Q6NPE9
823850	Q9SD76
823850	W8PUR4
68479	P83870
158787	A0A024R9X7
158787	Q8N443
157574	Q8IX29
823851	A0A1I9LP03
823851	A0A1I9LP04
823851	A0A1I9LP06
823851	A0A1I9LP07
823851	Q66GI9
829519	A0A178V2A8
829519	A0A1P8B5H0
829519	A8MRH2
829519	O81893
157570	Q56NI9
374786	A4FU69
814836	Q4V3C1
67628	Q9EST5
24333	P04764
24333	Q5BJ93
269881	Q66L42
24337	Q8K3F9
851119	P32432
2947	P21266
2947	Q6FGJ9
851117	Q06053
851114	P35207
851115	P35817
851112	P20795
50225	A0A0B4K7Z0
50225	A0A0B4LF25
50225	A0A0B4LFA9
50225	A1Z9K8
2941	A0A024RD58
2941	O15217
851111	P04039
217946	Q922M5
447018	Q6DCJ2
3638344	Q5AEN6
79168	U5XH19
79168	U5XJZ2
79169	Q9BU76
79165	Q96BZ8
79161	C9JY04
79161	Q9BU79
145781	H8Y6P7
145781	P0CAP1
178174	A0A061AD29
178174	A0A061AE89
178174	A3QMB3
178174	A3QMB4
178173	A3QMC5
72344	B1AQJ2
77305	B2RXQ8
77305	Q8BFQ4
36492	A0A0B4K775
36492	A0A0B4K864
36492	Q7K4K7
54107	A0A024R829
54107	Q9NRF9
54106	Q9NR96
54101	Q96T11
54101	Q9H4D1
54103	A4D1B5
54102	Q96NY7
2541513	Q9UTC6
2541512	O13688
2541510	O13894
2541517	O13895
54108	Q9NRG0
2541514	P32434
844213	B3DNN5
844212	A0A178W3Q2
844212	Q9ZV94
818023	A0A178VMY4
818023	Q8S8R9
187345	Q9N5G8
844215	A0A178WHI0
844215	F4IBV2
844215	Q8L7N3
91703	A0A024R5L2
91703	Q96HD9
199857	Q96F25
820081	A0A178VFU5
820081	A0A1I9LRN3
820081	F4IZV9
820081	Q9SR38
34435	E1JHE3
34435	M9MRI1
34435	Q9VKV3
144715	A0A024RBJ5
144715	A0A024RBN9
144715	B4DX60
144715	B4DYM6
144715	J3KPN7
144715	Q6WBX8
175036	Q9XVA2
34478	Q9VKR1
175038	Q9XWJ5
175038	Q9XWJ6
828976	Q1PE39
34474	Q9VKR4
34471	Q9VKR8
71985	Q8K370
2541083	Q9USR4
50488	Q8N4C8
50489	Q9UJ71
35708	A1Z729
35709	Q7K130
50484	Q7LG56
35707	Q7JYX2
35704	Q7JUS1
35705	Q9V4Q0
35702	Q7K4J7
843972	A0A178WGG6
843972	A0A1P8AUN1
843972	Q9SFX3
35701	Q7KMQ0
23590	Q5T2R2
23592	A0A024RBB9
23592	Q9Y2U8
23593	Q5THN1
23593	Q9Y5Z4
23594	A0A024R6R3
23594	Q9Y5N6
23595	Q9UBD5
23596	Q9H1Y3
80835	A8K7J9
80835	Q7RTX1
23598	A0A024R1F8
23598	A0A024R1H7
23598	A0A024R1M5
23598	Q9HBE1
188227	O02300
3639210	Q8X1E6
303285	B1WC90
181503	B7WN96
181503	E5QCG7
181503	E5QCG8
181503	G5ECF7
55051	Q9H7Z3
181501	Q21127
54621	Q8N0Z9
55054	A0A024R494
55054	A0A024R4B6
55054	E7EVC7
55054	Q17RG0
55054	Q53SV2
55054	Q676U5
55055	A8K4T3
55055	Q9H900
51575	Q9H501
108699	A7VK12
108699	A7VK13
108699	A7VK14
108699	Q91V57
179624	A5JYX3
179624	F5GUG3
179624	I7J4D2
179624	I7K4K5
179624	I7LFF2
179624	P90947
67996	Q3TWW8
852944	P53234
67991	Q9DCM7
946222	P0A8M3
110460	Q8CAY6
100036802	A0JPI0
51684	A0A223LX15
51684	Q9UMX1
51686	A0A0G2JH29
51686	H0Y7Y4
51686	Q9UMX2
220388	Q8N998
820595	A0A178VM81
820595	Q9LRW4
729238	Q8IWL1
53349	Q9HBF4
142684	Q8WXH6
54623	A0A024R0H6
54623	Q8N7H5
100526740	B4DJ38
100526740	G3V325
73158	Q6ZQ58
855582	P53910
853608	P46971
853609	P32787
853604	P31116
853605	P47171
853606	P47172
853607	P47173
853600	P57744
853601	P47168
853602	P47169
853603	P47170
41150	O62531
54625	Q460N5
54625	Q8N546
179620	G5ECP0
816590	A0A178VQ14
816590	Q9SIU8
179605	A0A0K3AUK6
179605	Q8I4N4
221656	Q8NB78
2542159	Q9P7Q6
74464	Q80TC6
56503	Q8VE42
41154	A0A0B4KFL6
41154	Q9VHB4
2542150	P40384
2542151	O13759
2542156	P87138
2542157	O14240
56505	P60122
56505	Q3U1C2
2542155	Q10318
32167	Q9VYR0
32166	Q9V452
32165	Q76NR6
32165	Q9VYR1
836138	A0A178ULL0
836138	Q9LST0
32163	Q9VYR3
179601	E0AHC9
179601	E0AHD0
179601	E0AHD1
179601	Q9XVN3
32160	D3PFG0
32160	P54356
2543201	Q10189
2543200	O00091
2543203	Q9UT95
2539539	O74894
2543205	Q9UT97
2543204	Q9UT49
32169	Q9VYQ8
32169	X2JEX7
32168	Q9VYQ9
2539537	Q9UU83
7932	A0A1U9X844
7932	O95918
142680	Q8N130
41858	A0A0B4KGQ4
41858	P13582
35795	Q7K5K0
289218	Q641Y2
646817	P0DME0
816522	Q9SL78
816525	Q8VY61
26229	G3V150
26229	O94766
26229	Q5U676
26228	A0A024RD91
26228	Q9ULZ2
843707	A0A178WHG8
843707	Q8W117
832099	Q6J9S1
26223	Q9UKT6
26225	Q9Y689
26224	Q9UKT7
26227	O43175
21945	Q3U001
21945	Q9Z1L3
21940	B7ZW87
21940	D3Z7W5
21940	P41272
21940	Q3U4X0
21942	P20334
21942	Q3U3R1
21942	Q8R037
854379	P06634
41853	A0A0B4KHJ9
41853	H1UUJ7
41853	P09491
100192354	B6RQN8
854377	P06633
854376	P25270
854371	P32875
854370	Q08581
854373	P38934
854372	Q08601
4947	O95190
4946	J3QQY4
4946	P54368
79948	Q6T4P5
4940	Q9Y6K5
4943	B4DF03
4943	Q3MII6
4942	A0A140VJQ4
4942	P04181
508566	Q3SZT2
35799	A0A0B4KFD1
35799	A1Z7C4
814913	A0A178VPR3
814913	Q9SI54
79947	Q86SQ9
4948	Q04671
852545	P07286
2118	P43268
2119	P41161
100036799	A0JPH7
2110	B4DEQ0
2110	Q16134
2113	A8K725
2113	B4DW78
2113	P14921
2114	P15036
2115	B5MCT2
2115	B7Z2C9
2115	P50549
2116	K7ERX2
2116	O00321
2116	Q3KNT2
2117	P41162
14026	E9PVP4
14026	F8WJB9
14026	P70429
14026	Q6PB99
14027	Q9D952
14025	Q3TP99
14025	Q3US10
14025	Q5STS9
14025	Q9QYE3
408263	Q8TBE3
837662	Q9SXA7
299203	D4A6X4
837664	Q1PFW9
837664	Q9SXA9
837665	Q8W494
3281	O75506
3280	Q14469
850982	Q06218
850983	Q06224
850980	P29496
850981	Q06217
850987	Q05863
850984	Q05854
840164	A0JQ67
840164	F4IEB6
106021	Q80Z37
850988	Q05867
106025	Q91WA6
851469	Q12066
36428	E1JH49
36428	Q00449
36429	A0A0B4LGA9
36429	Q7JR80
36426	Q8T8S1
36427	Q7JQL2
36424	A0A0B4KEP0
36424	Q7K0S9
36425	A1Z971
36423	Q7JWR4
36420	Q7K0E6
36421	Q26366
287986	D3ZU13
287986	D4AD15
14799	F6YNQ1
14799	P23818
14799	Q7TNB5
834684	A0A178UF00
834684	F4KHG9
834684	Q8VY28
11131	Q9UMQ6
33619	M9PCI6
33619	Q9VQW7
33616	Q9VQW5
33617	B7Z016
33615	Q9VQW4
14794	O88838
33610	E1JHS8
33610	Q9VQV7
33611	B7Z010
33611	B7Z011
33611	B7Z012
33611	B7Z013
33611	B7Z014
33611	Q24120
33611	Q8IQ12
33611	Q8MRP5
33611	Q9VQV9
38738	P98159
36080	H1UUB1
36080	P18489
34867	Q9VJR1
18392	Q3TPY7
18392	Q3UR71
18392	Q9Z1N2
34863	Q59DZ2
34863	Q9VJR4
38730	Q9VRW7
54484	E9QAG7
54484	Q8C5V4
38732	Q9VRW9
38733	Q9VRX0
38734	Q9VRX1
38735	Q9VRX2
38736	E1JID8
38736	Q9V3L1
83501	Q9Z1Y3
181594	Q9U3I4
83503	O88828
83502	Q9R0T4
160364	Q5QGZ9
83506	O88831
840169	Q8LRK9
840168	A0A1P8AWG5
840168	A0A1P8AWK1
840168	Q8LCK5
67039	B2RY56
851464	P52867
432335	Q5MNU4
40101	Q9VVY2
40102	M9PCY7
40102	Q9VVY3
779040	Q3L6P2
40104	Q86BJ3
40105	Q9VVY7
40105	R9PY60
432333	Q6IP84
446311	A0A1L8GVT4
446311	Q6DJI8
112752	A0A024R6A9
112752	Q96FT9
326167	Q4V528
326167	Q9VKA3
47457	Q9W1I6
112755	P61266
850326	P25368
850327	P00815
855136	Q04439
850325	P25344
6868	B2RNB2
6868	P78536
850323	P25369
850320	P25567
850321	P25370
6865	P21452
6866	A0A024RB47
6866	A0A024RB97
6866	Q9UHF0
6867	E7EVI4
6867	O75410
6867	Q5HYH0
6860	Q9H2B2
855139	Q99278
850328	P11709
850329	P25367
853983	Q08280
853982	Q08281
853981	P36173
853980	P36172
814313	Q8ID31
853986	Q08273
853985	Q08278
853984	Q12471
853989	Q08270
853988	Q08271
3885861	C6KT67
293481	P85834
71449	Q91YR5
54741	A0A087X0N2
54741	O15243
60527	Q3T9H9
60527	Q9JJE7
40143	D3DMF6
40143	Q9VW24
75829	Q9D4Z5
822195	A0A1I9LRJ1
822195	F4JBB7
822195	Q9LU93
822196	Q9LU92
822197	Q9LU91
822193	Q9LU95
231570	G3X9V7
231570	Q3TEG0
231570	Q80TK0
822198	Q9LU90
822199	F4JBC4
822199	F4JBC5
822199	Q9LU89
31615	Q9W3W6
31617	Q9W3W5
31617	X2JAQ0
31617	X2JCU9
31617	X2JED7
31611	Q9W3X0
31613	Q9W3W8
31613	X2JIQ5
39463	Q9VU22
39462	Q9VU21
39460	F0JAQ9
39460	M9PF27
39460	M9PFH0
39460	Q95SE8
39460	Q9VU19
39467	Q9VU26
318872	M9PB37
318872	M9PC10
318872	M9PC65
318872	M9PEM2
318872	Q8IPL3
39465	Q9VU24
39464	M9PFH3
39464	Q6ILA6
39464	Q9VU23
35693	A1Z713
837667	A0A178WJ63
837667	P23586
34136	Q9VLP9
34137	Q8SY53
34135	M9PCJ9
34135	M9PF78
34135	Q9VLQ0
34132	M9PCD8
34132	M9PCX8
34132	P08630
173099	Q9XVT3
173099	Q9XVT4
36086	Q8MKW7
34131	M9NCS7
34131	M9NEC3
34131	M9PB71
34131	M9PB72
34131	M9PCD3
34131	M9PCJ4
34131	M9PCX6
34131	M9PF71
34131	Q7KTI5
34131	Q7KTI6
34131	Q8IPG0
34131	Q9VLQ4
838140	Q9LMR3
838141	Q9LMR2
838142	Q9LMR1
30355	O42363
838144	Q94AI7
838145	Q9LMQ8
34138	Q9VLP7
34139	Q9VLP6
184202	Q9XVA0
184201	Q9XVA3
200407	Q8IUH2
177965	Q10653
177962	Q21891
177962	Q9U389
856445	P38777
856444	P38776
856447	P38778
856441	P38775
856440	P38774
856443	P37898
856442	P38710
838208	Q9SA37
856449	P38779
856448	P00427
19055	B2RRX2
19055	P63328
812414	Q8I1W9
131544	Q68DQ2
131540	Q8WVZ1
64531	Q9WVJ4
114210	Q66HP6
5740590	A0A0B4LI09
5740590	A8JPQ1
5740592	Q86P48
5740597	G5CKU5
5740599	A8DYL7
100009586	P23791
811859	Q8ILG6
100009587	P62143
76899	Q3TR77
