yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CEADC	Entry
20111	E9PWV3
20111	F6Q8A4
20111	P18653
20111	Q505N6
20111	Q810V8
246760	Q6IRI7
813645	Q8I2E3
133022	Q8N609
77371	A2AA71
77371	Q3U2P1
123096	Q8N8R3
79719	Q6PD74
820707	A0A178VEJ5
820707	A0A1I9LN83
820707	Q9LH76
822264	A0A178VG88
822264	Q38953
44748	Q9V7W9
827576	O49515
44747	Q9VSD6
137735	Q8N0Z2
34843	Q7KT94
826626	A0A178UW55
826626	Q9XF89
826624	F4JLM5
79718	Q9BZK7
287446	B0BMU7
287446	Q6IUP3
734509	Q4QR44
40916	Q9VI04
29731	P15384
40913	Q9VIC7
29737	P63144
828288	F4JKD5
828288	P92980
828287	A0A178UVA3
828287	A8MS84
828287	Q8LEM4
29738	A0A0G2K670
29738	P62483
828285	Q9SB81
734505	Q4V836
828283	A0A1P8B8Z1
828283	F4JKC7
828283	O49717
40919	A0A0B4K605
40919	Q9VI02
40918	Q9V3Z2
24418	B2CZC8
24418	P31424
2541809	O13902
2541808	O13905
24419	P35349
2541805	Q09841
2541804	O14021
2541807	Q9P7S2
2541806	Q09838
2541801	Q09699
2541800	Q9URZ7
432361	O35569
207214	E9Q066
207214	G3X9Q6
207214	Q3UT02
207214	Q8BWW4
175384	H2L0C1
175384	Q9BKP3
175384	Q9UB28
175384	Q9UB29
851233	O13512
21961	A0A087WQS0
21961	E9Q0S6
21961	Q7TSV1
21961	Q8C6V6
21961	Q9DBT6
179808	B6GUP8
179808	D4YWB8
179808	D4YWB9
179808	D4YWC0
179808	G5EER5
179808	G5EF62
179808	H1UBJ0
179808	Q9XXM9
21960	Q8BYI9
129285	Q6ZMI0
179803	Q20922
179802	Q20924
179807	H2L2D4
179807	H2L2D5
179807	Q18433
827395	A0A1P8B5C3
827395	F4JNA9
827397	A0A1P8B8K1
827397	A0A1P8B8K4
827397	A0A1P8B8K8
827397	A0A1P8B8L1
827397	O23530
827391	Q8GWM8
827393	Q0WQ99
827392	F4JMM5
827392	Q8W5B1
2543461	Q9P7B4
51542	Q9P1Q0
947828	P0AA10
844262	A0A178W2F8
844262	Q8L4A7
108671	Q91WN1
815269	A0A178VT15
815269	Q9ZVW2
12861	P43024
12861	Q9DCW5
687711	M0R907
79714	A0A024R2V4
79714	Q96ER9
12864	Q9CPQ1
23299	Q8TD16
23299	Q96FU2
12866	P48771
55024	Q8NDB2
394136	Q7ZU68
3637922	A0A1D8PLR1
938167	P17904
3637920	A0A1D8PLL4
27180	Q9Y336
21781	Q08639
21781	Q3V3X3
21781	Q9CYZ7
21781	Q9D297
243842	F8VPZ9
818979	A0A178VNE3
818979	O22827
79717	Q9HAB8
151354	Q96KN4
55027	Q7Z4Q2
56384	Q9Z2I0
50441	Q9VKK9
50442	Q9VKE7
50446	Q9VK38
1106	O14647
1107	B3KWV4
1107	Q12873
1107	Q2TAZ1
1104	A0A0S2Z3I4
1104	A0A0S2Z404
1104	P18754
1104	Q5T081
1105	B3KT33
1105	O14646
1102	B4DWG0
1102	B4E372
1102	O95199
1102	Q59FB7
409	K7ENA6
409	P32121
409	Q59EM5
409	Q68DZ5
1727	P00387
1108	F5GWX5
1108	Q14839
56380	Q9Z1N7
21976	Q3UJF5
21976	Q9Z321
353156	A0A0R4J189
353156	Q3UTJ7
353156	Q9QXT5
816218	A0A178VYB0
816218	A0A178W0H4
816218	P93032
22608	P62960
22608	Q3UBT1
2538718	Q9USJ6
2875940	Q5BH19
22601	P46938
818033	A0A1P8B0X3
818033	F4IIU4
5243	A4D1D2
5243	P08183
26519	P62072
26517	Q9Y5L4
26515	B2R4A9
26515	Q9Y5J6
26512	A0A024RDU0
26512	B3KQH5
26512	Q9UL03
26511	Q9UKJ5
158399	Q6P088
158399	Q8TF39
2541379	O94275
2541378	O94269
13591	Q07802
13591	Q3UTW6
13591	Q5SWK4
13591	Q5SWK5
13591	Q5SWK8
13591	Q8CBL7
2541373	O94266
2541372	O94276
2541371	Q9P7D2
2541370	O94256
2541376	O94254
2541375	O94279
2541374	P0CT94
2541374	P0CT95
2541374	P0CT96
2541374	P0CT97
53944	A0A024R5W3
53944	Q8IXA3
53944	Q9HCP0
53944	U3KQB3
179662	O01927
51333	B2R9V3
51333	Q7L3S4
383348	Q5DTY9
770561	Q5ZL57
770561	R9PXM7
330188	A0A0R4J0M8
330188	Q8CDV6
172396	G5ECT6
2137	O43909
2134	Q92935
2135	F5GZK1
2135	Q8N8F1
2135	Q9UBQ6
834273	Q96242
834270	Q9FJV5
172399	O01501
843317	A0A1P8AQG7
843317	Q058I4
843317	Q9CAR4
2132	D3DR24
2132	Q93063
843314	Q8LC03
843313	Q94F88
843310	A0A178WCT0
843310	Q9SFH9
220074	A0A024R5L6
220074	Q8WZ04
220074	Q96E66
93166	Q9NQX0
4925	P80303
4925	Q2L696
43265	Q9VB75
148066	Q8WWF5
328059	Q50E62
328059	Q8BZV2
328059	Q9D8H4
4924	A8K7Q1
4924	Q02818
13722	Q3UZG4
840957	Q9MA75
172138	G5EEI8
51319	Q96IZ7
51318	D3YTC1
51318	Q9NZE8
172139	Q9N599
55670	A0A024R100
55670	A0A0S2Z5M7
55670	Q7Z2D7
55670	Q7Z412
55671	A0A024R6M2
55671	Q6IN85
55671	Q8N6W1
51311	Q9NR97
51317	Q96BD5
51316	Q9NZF1
51316	X2BQ60
51315	A0A024R5P4
51315	Q9NPI7
55677	Q96ST2
851444	Q07530
79921	Q96EI5
81501	Q9H295
2542772	P78814
2542773	Q10133
56321	Q9JKX4
79983	Q8WVV4
56327	Q9D0J4
856490	P38806
2542774	O94538
56324	O88811
56324	Q3TGH8
828916	A0A178UZQ0
828916	A0A178V1A0
828916	A0A1P8B5H2
828916	A0A1P8B5H4
828916	Q6NMB4
151827	B4DHF2
151827	Q8IZ02
856491	P38714
817169	O64842
817168	A0A1P8B1H7
817168	A0A1P8B1J3
817168	A0A1P8B1N0
817168	O64843
828910	A0A178V1C3
828910	A0A1P8B3D9
828910	A0A1P8B3E4
828910	Q9ASQ7
828911	A0A178V295
828911	A0A178V2L1
828911	A0A178V490
828911	A0A1P8B553
828911	A0A1P8B587
828911	Q9SUE1
241	A0A087WW23
241	P20292
851440	Q07533
25374	P06214
79925	A0A140VKD0
79925	Q9C093
817161	A8MR72
817161	Q8VZ34
817163	O04420
856497	P38809
79616	B4DZA8
79616	Q8IV13
53515	Q8IPH6
53515	Q8IPH7
53515	Q8IPH8
53515	Q9VLZ3
856494	P32465
51427	A0A024R5Y9
51427	A0A087WYK5
51427	A0A0B4J2G0
51427	Q8WVL4
51427	Q9UII5
39864	M9NDA6
39864	M9NFH3
39864	Q8I7C3
340075	Q5FYB1
12386	E0CXB9
12386	Q61301
162979	Q8WUU4
2543260	Q9US43
178537	A0A0K3ARQ7
178537	A0A0K3ARR2
178537	A0A0K3ARR7
178537	A0A0K3ARS4
178537	A0A0K3AS71
178537	A0A0K3AS74
178537	A0A0K3AS80
178537	A0A0K3AS85
178537	A0A0K3AS90
178537	A0A0K3AUL3
178537	A0A0K3AUL7
178537	A0A0K3AUM3
178537	A0A0K3AUN1
178537	A0A0K3AV83
178537	A0A0K3AV92
178537	A0A0K3AV97
178537	A0A0K3AVA5
178537	A0A0K3AXH8
178537	A0A0K3AXI3
178537	A0A0K3AXJ0
178537	A0A0K3AXJ6
178537	A0A0K3AXK2
178537	G5EBH0
856498	P38810
2541158	Q92372
178532	Q9XVQ9
447726	Q641E4
64563	A0A140TAG4
64563	Q9R044
824565	A0A178V5U9
824565	Q9M329
51701	A0A024QZ12
51701	Q9UBE8
380527	A0A1L8HN62
380527	A0A1L8HNA1
380527	P20342
12336	A0A0R4IZW8
12336	O88456
304656	Q32PZ9
21981	Q62415
3005	P07305
117143	Q96BN2
117144	Q8NEC5
117145	A8K0C9
117145	Q5T1C6
117146	Q9ES34
3004	P51124
117149	H3BKL1
117149	Q3UB38
117149	Q542S6
117149	Q99JY1
3885801	C6KT22
51702	Q9ULW8
81715	Q6DGG9
81715	Q9ERK1
305940	D4A1D3
2778	A0A0S2Z3H8
2778	A0A0S2Z3S5
2778	B0AZR9
2778	O95467
2778	P63092
2778	P84996
2778	Q14455
2778	Q5FWY2
2778	Q5JWD1
2778	Q5JWF2
2779	A0A024R2Z1
2779	P11488
2541987	Q9P7N4
3003	P49863
2770	P63096
2771	B3KP24
2771	B3KX51
2771	P04899
199720	Q86UU5
2773	P08754
2774	A8K1Y9
2774	P38405
2775	B3KP89
2775	P09471
2775	Q6AWC5
2775	Q8N6I9
2776	A0A024R240
2776	P50148
9498	Q2Y0W8
9499	A0A0C4DFM5
9499	B4DT68
9499	Q9UBF9
16416	O54890
16412	P09055
2543421	P48383
9491	A0A140VJT2
9491	B4DXW9
9491	Q5QPM7
9491	Q92530
93836	A0A1L1SRK3
93836	Q99ML9
9493	Q02241
191115	P91542
9495	P24588
9495	Q6PG46
2543427	Q9HDX5
9497	B5M450
9497	E9PFN4
9497	Q9Y6M7
269470	Q8BHB4
840143	A0A178W3A5
840143	F4IE90
840143	Q8VY00
269473	B2RRI5
269473	Q52KR2
51704	A0A024QYX2
51704	B7Z831
51704	Q9NZH0
840142	Q9LQK9
14000	Q5HZJ0
54467	Q9P2G1
9726	O15015
9727	O75154
9724	A0A024RDV0
9724	Q5TAP6
9725	A0A024R3T3
9725	O94886
9722	O75052
9720	A2RUR9
9720	B7ZM27
9721	O60269
2541618	Q09673
408248	P18422
9728	A0A024R5R0
9728	Q93073
9729	Q6ZU52
24137	O95239
24137	Q59HG1
24136	A0A0M3HEP2
24136	Q3URW5
24136	Q8BSG9
24136	Q9R0G7
24135	Q8BLK6
24135	Q9Z116
12332	Q3TNN6
12332	Q99LB4
317781	Q8N8A6
24131	E9PYJ9
24131	Q9JKS4
32827	Q9VWU7
810308	Q8IJP2
32824	Q8T4D9
24139	O95834
24138	Q13325
22980	Q9BQ70
22981	Q9Y2I6
22982	A0A0U1RQW6
22982	Q86XV3
22982	Q9Y2E4
22983	Q9Y2H9
22984	Q14690
22985	B4DQZ7
22985	Q9UKV3
22986	Q86XB2
22986	Q9UPU3
22987	B3KT41
22987	Q496J9
51706	Q9UHQ9
12333	O35350
12333	Q3TB79
12333	Q3TI07
12333	Q3UF24
55023	Q8WWQ0
830570	A0A1P8BBX9
830570	A0A2H1ZE52
830570	Q0WVU3
55022	Q7Z2X4
394319	A0A1L8F7B6
394319	B7ZSJ9
394319	Q9DGN0
246019	Q3V5K0
246019	U4PBW0
246019	U4PC90
246019	U4PF39
246019	U4PMN2
246019	U4PRY7
432516	O88329
146894	Q6UXG3
71952	Q9JJF3
71950	A2RS90
71950	B7ZN41
71950	Q80Z64
100036834	A1L106
71954	A0A0R4J243
71954	Q8BR65
832705	A0A178UHF4
832705	Q84WV1
55223	Q9BVG3
60343	D3DWX8
60343	P98173
60343	Q9BU27
2540814	O74971
2540817	P0CT56
2540817	P0CT57
2540811	O60154
2540810	P14605
2540812	P0CT64
2540812	P0CT65
2540819	P78795
2540818	O94358
832706	A0A178UG93
832706	B3H4K8
832706	Q6ZY51
55222	A0A024QZL5
55222	A0A024QZM2
55222	A0A024QZR0
55222	A0A0A0MS58
55222	Q8TCA0
856481	P38801
856480	P38800
856483	P14693
856482	P38691
856485	P38803
856484	P13574
856487	P38804
856486	Q00539
856489	P28007
856488	P38805
851459	Q12191
851458	Q12154
817677	Q8GX46
3070	A0A087WSW7
3070	A0A0B4J1V9
3070	F6XU50
3070	Q0VGL2
3070	Q76H82
3070	Q9NRZ9
30370	Q90YL7
3073	A0A0S2Z3W3
3073	B4DVA7
3073	H3BP20
3073	P06865
3074	A0A024RAJ6
3074	P07686
3074	Q5URX0
3075	A0A024R962
3075	A0A0D9SG88
3075	P08603
3077	B4DV50
3077	F8W7W8
3077	Q30201
3078	Q03591
840133	Q9C5W7
840131	A0A178WGQ9
840131	A0A1P8ATQ0
840131	Q42583
553206	B2GRS1
553206	Q502K3
840134	Q9AST6
27445	Q9Y6V0
27443	B7WPH3
27443	Q9BXF3
27440	Q9BXW7
817672	O82268
91151	Q6NT04
834951	Q9FI78
186189	O01796
183352	Q9TZA7
55220	A0A024R981
55220	Q8IYD2
183355	Q9TZA6
183356	Q9TZA5
338699	A1DRY3
338699	A1XPJ0
338699	E9PIL2
338699	E9PKE2
338699	E9PP91
338699	F8W6I9
338699	Q8N9B4
825420	A0A178VME9
825420	Q9LZP4
447688	A0A1L8F6Q4
447688	Q66GV6
338692	A0A024R5D5
338692	Q6ZTN6
825430	A0A178VGR8
825430	Q8VYP7
361765	F1LMH8
361765	Q5U4E5
679539	D3ZFY8
850506	P02557
850507	P13433
850504	P60010
850505	P01123
850502	P43561
850503	P43562
850500	P43558
850501	P43560
35445	Q8IGP5
35445	Q9V9N4
850508	P43563
850509	P56628
31023	A8JUT5
31023	O77438
31023	X2JC46
814534	Q76NN7
29071	Q96EU7
29070	Q9H0I3
814531	O97291
29072	Q9BYW2
29079	A0A024RDY7
29079	Q9NPJ6
216558	Q3U548
216558	Q91ZJ5
812272	Q8IKB6
815840	Q9SIU2
825399	A0A178VJ36
825399	A0A1I9LSG6
825399	Q3EAF9
23214	Q96QU8
23213	A0A024R809
23213	Q8IWU6
23212	Q15050
23211	Q9UPT8
23210	Q6NYC1
2538812	O94599
66075	Q9CRB9
2538810	O74981
2538811	O74875
2538816	P37382
815842	A0A178VZ17
815842	Q9SIU0
23219	A0A024R3Q6
23219	Q9NVF7
185193	F5GUF6
185193	O62203
185193	Q7Z0X2
47285	Q7KSE4
109205	Q0P5V2
815843	A0A178VTX6
815843	C0SV44
815843	Q9SIT9
489	A8K9K1
489	Q93084
488	A0A0S2Z3L2
488	P16615
487	O14983
487	Q7Z675
446489	Q6DE93
100462977	P0CJ68
483	P54709
482	P14415
481	A3KLL5
481	P05026
480	Q13733
177433	H2KYC7
177433	H2KYC8
177433	Q95QZ0
177433	Q9U3W3
816973	Q1PF03
177431	Q17539
177436	Q07292
177436	V6CJK3
177436	V6CKR7
177436	V6CM34
177436	V6CM38
855368	Q04894
315686	D4A563
816976	A0A178VSZ5
816976	Q9ZQ28
816979	Q9ZQ25
855364	P54005
30923	Q9QY14
855366	Q04893
855361	P40308
855360	Q04868
855363	Q04869
855362	P40302
31037	M9PGD0
31037	Q9V410
31030	M9PGI6
31030	O77434
31031	Q9W5D0
31031	X2JDC1
499878	D4ACM9
57381	A0A024R692
57381	Q7Z513
57381	Q9H4E5
31038	Q9V439
31039	Q7KW25
837930	A0A178WKP3
837930	Q0WRA3
3920	P13473
3921	A0A024R2P0
3921	A0A0C4DG17
3921	P08865
286006	Q8N8F7
3927	A0A024R1S8
3927	B4DIC4
3927	Q14847
3925	A0A140VJW2
3925	P16949
3929	P18428
3929	Q8TCF0
47283	Q9VSN9
34716	Q7KTB3
34716	Q8IP79
34716	Q8IP80
34716	Q9VK25
34717	Q9VK23
6721	A0A024R1Q0
6721	Q12772
6720	A8MTU8
6720	B3KR77
6720	P36956
6727	P37108
34710	Q9VK31
837934	A0A178WBB1
837934	Q9LMX5
6729	P61011
6728	A0A087WYR0
6728	P09132
72544	Q8BTW3
34719	Q9VK21
73495	A2ARK7
73495	Q9D9H1
177389	Q27522
100201	Q3U145
14451	A0A286YD87
14451	Q01721
177381	O44150
180111	H9G333
180111	O45734
50160	Q9VN06
27147	A2RUF6
27147	Q9ULE3
50169	Q9VZH1
92714	Q8N5I2
92715	Q9BTV6
55531	B4DM88
55531	E9PLM8
55531	Q8N336
55530	Q8N4V2
32718	M9MSB2
32718	M9MSB3
32718	M9MSQ2
32718	Q0KHR2
32718	Q86B48
32718	Q86B49
32718	Q9VX59
32718	Q9VX60
55536	A0A024RA51
55536	A8K8X5
55536	Q96GN5
840206	F4HPH2
55534	Q96JK9
55534	Q9NPV6
181248	Q23356
32715	Q9VX63
32716	Q9VX62
100360015	M0R8A5
22166	P10639
6098	P08922
22160	P26687
6091	Q1RMC8
6091	Q9Y6N7
100125968	A7U5U2
6093	Q13464
6092	Q9HCK4
6095	A0A0C4DFP5
6095	A0A0C4DG53
6095	P35398
6094	Q03395
6097	F1D8P6
6097	P51449
6097	Q6I9R9
189470	Q9N575
36573	A1Z9M5
310612	B2RZC6
310612	Q7TP98
51611	B3KWP1
51611	Q9H2P9
840207	A0A178WPH4
840207	F4HPH5
840207	Q8W488
2543292	Q10307
824922	A0A178V9C8
824922	F4J3E9
824922	Q9M682
246668	Q7KE32
43808	Q8SY33
43809	L0MN84
43809	L0MPY6
43809	Q8MR31
34801	Q9V3P4
43800	Q7K4Y8
43803	D1YSF9
43803	Q0KIF4
43803	Q59DQ4
43803	Q8IMC2
43803	Q9V4E5
43804	Q9V4E6
43806	A0A023GQ97
43806	Q0KIF2
43806	Q9V4E9
140809	Q9BYN0
207212	Q80U35
140801	Q96L21
140807	Q14CN4
2539020	P53692
852835	P53178
2539023	O74508
184746	O01739
852832	P53177
2539027	O94547
2539028	O94524
2539029	O94349
852838	P25299
852839	P07273
856104	Q12059
856105	Q12483
856106	Q12341
856107	P43635
856100	Q12308
856101	Q12200
856102	Q12089
856103	Q12230
856108	Q12428
100996939	Q96I23
396154	F1NC45
396154	P98165
837892	A0A1P8AMM6
837892	F4HQR5
837892	Q38951
5001	A4D0P7
5001	O43913
5001	Q53FC8
5000	A8K7H4
5000	O43929
5000	Q96B14
5007	P22059
837895	A0A1P8ASP4
837895	F4HQR9
837895	Q9FX62
5004	P02763
5009	P00480
5008	B5MCX1
5008	P13725
839943	A0A178W2E1
839943	Q9SA78
2542430	O13784
2542433	O13792
2542432	Q9UTG2
2542435	Q9UTG1
246568	A1Z7D6
2542437	O13764
2542436	O14077
246565	A1Z7F1
2542438	P10505
2539790	P87303
839320	A0A178WJU9
839320	A0A1P8ANQ7
839320	Q946J2
812043	Q8IKZ0
2539797	O60128
2539794	Q92399
83529	Q9Z2L0
130013	A0A0S2Z681
130013	Q6ZV40
130013	Q8TDX5
2543157	Q10186
70144	B2RXP1
70144	B7ZWM8
70144	E9QAU9
70144	Q8BVU0
339906	Q7Z5A4
12803	P51642
12803	Q544D1
362440	Q5BK63
100042480	B1AXH1
100042480	E9Q0V6
1466528	Q05451
122042	Q8WXD0
36239	P05527
1466521	Q3E7B4
1466520	Q3E751
1466523	Q8TGQ7
1466522	Q3E7B3
57547	Q9P2J8
1466524	Q3E758
1466527	Q8TGT6
1466526	Q07074
172268	O01427
172269	Q9BIG2
172264	O01498
66067	Q9CY28
172267	O01426
853699	P32454
66066	P61953
39992	Q9VVM2
39997	Q9VVM7
39996	Q9VVM6
39995	Q7JZI2
2538778	P87240
2538776	O60080
57540	Q9P2K9
2538772	Q9USM6
444335	Q6GNJ5
2538770	O94744
117248	B3KT16
117248	C9JGI4
117248	Q4G146
117248	Q8N3T1
820278	Q9SRL6
2538804	O94408
820273	M4VR86
820273	O82133
820272	A0A1I9LN74
820272	A0A1I9LN75
820272	A0A1I9LN76
820272	A0A1I9LN77
820272	F4J519
820272	Q9SRL2
820276	Q9SRL5
827699	Q84TH2
41511	Q9VG91
41518	Q9VG84
84570	A8MWQ5
84570	Q9BXS0
84572	Q9UJJ9
84577	B1WBY8
84577	F7ENH8
2538800	O94545
57460	Q9ULR3
130916	B4DFP7
130916	Q7Z6M4
13853	Q9WUA5
203260	Q8WV48
836074	A0A1P8BDZ2
836074	Q940T5
836412	A0A178UKS7
836412	Q0WSS6
836412	Q9ZWS6
836415	A0A178UN77
836415	A0A1P8BGY7
836415	A8MS47
836415	Q7XJ61
39663	Q9VUN0
39666	D7PER7
39666	Q9VUN3
74132	Q9DBU5
72685	Q80TZ3
827692	A0A1P8B4P0
827692	A0A1P8B4P2
827692	A0A1P8B4P3
827692	A0A1P8B4P4
827692	A0A1P8B4Q1
827692	F4JT80
827692	F4JT81
71236	E9PWZ8
71236	Q9D3W1
779222	Q0IHH1
80744	B1AYU7
80744	Q8C5N3
311071	A0A0G2K8T6
311071	E9PTC3
311071	Q3T921
172840	P91829
839850	Q9ASQ6
172842	Q9XTC6
85333	Q05962
172847	H1UBJ1
172847	H1UBJ2
172847	Q9XWQ4
172849	A5HW99
172849	Q9XWQ1
175815	P45897
175815	Q2L6Y5
175813	Q21952
80743	G3X8X7
80743	Q8BWV2
80743	Q8C016
7175	P12270
7177	P20231
7177	Q15661
1798	A0A024R3H8
1798	Q9H3H5
7171	P67936
7171	V9HW56
7170	A0A087WWU8
7170	A0A0S2Z4G4
7170	A0A0S2Z4I4
7170	B4DQ80
7170	P06753
7172	A0A024QZW0
7172	P51580
831822	A0A1P8BCE1
831822	Q9LZD7
832260	A0A178UA98
832260	A0A1P8BEK7
832260	Q9ZT42
7178	A0A024RDY2
7178	A0A0B4J2C3
7178	A0A0P1J1R0
7178	P13693
399272	Q4QQZ8
820859	A0A178V7G4
820859	Q0WWU6
820859	Q9SUI7
820858	A0A2H1ZEI1
820857	A0A178VDE1
820857	Q9LW74
174141	P34697
174140	Q9N5Y2
820853	A0A178V9S4
820853	A0A1I9LRU8
820853	Q0WW79
820853	Q8LEM8
820851	A0A178V575
820851	Q940Y8
820850	Q9ZNR6
33599	B7Z009
33599	M9PC22
33599	M9PEE2
33599	P17972
33599	Q8SYL2
37674	Q9W1U1
37675	Q9W1U0
832267	A0A178UJA2
832267	P42825
832267	Q0V7U1
37671	Q45EX0
37671	Q9W1U4
37673	Q9W1U2
816962	A0A178VZY8
816962	A0A2H1ZE23
816962	B9DHD2
816962	F4INS6
816962	Q1WIQ6
824540	A0A178VF54
824540	P59259
824540	Q6NR90
283373	B3KWN0
283373	Q8NB46
283377	Q8WW59
