HCVpro ID	Molecule A	Molecule B Gene Symbols	Molecule B Gene ID	PMID	Experimental Evidence (PSI-MI Term ID)
hcv0036	CORE	TP53BP2	7159	14985081	Two Hybrid Test (MI:0018); Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019); Immunostaining (MI:0022)
hcv0037	CORE	SMAD3	4088	15334054	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059); Affinity Chromatography (MI:0004)
hcv0038	CORE	EP300	2033	15380363	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059); Western blot (MI:0113); Affinity Chromatography (MI:0004)
hcv0039	CORE	CREBBP	1387	15380363	GST pull-down (MI:0059); Western blot (MI:0113); Affinity Chromatography (MI:0004)
hcv0040	CORE	TLR2	7097	15521019	Enzyme-linked immunosorbent assay (MI:0411); Electrophoretic mobility shift assay (MI:0413); Western blot (MI:0113); Kinase assay (MI:0424) (MI:0424); Confocal microscopy (MI:0663); Flow cytometry (MI:0054); Colocalization (MI:0403)
hcv0041	CORE	HLA-A	3105	15681828	Fluorescence-activated cell sorting (MI:0054); Immunostaining (MI:0022)
hcv0042	CORE	HLA-E	3133	15681828	Fluorescence-activated cell sorting (MI:0054); Immunostaining (MI:0022)
hcv0043	CORE	STAT1	6772	15825084	Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0044	CORE	ACP1	52	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0045	CORE	CFL1	1072	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0046	CORE	FKBP7	51661	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0047	CORE	HSPD1	3329	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0048	CORE	KRT18	3875	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0049	CORE	KRT19	3880	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0050	CORE	KRT8	3856	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0051	CORE	SLC22A7	10864	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0052	CORE	TATDN1	83940	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0053	CORE	GLRX3	10539	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0054	CORE	VIM	7431	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943); Immunoblotting (MI:0113); Immunofluorescence (MI:0022)
hcv0055	CORE	NPM1	4869	16170350	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0056	CORE	YY1	7528	16170350	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0057	CORE	PML	5371	16322229	Western blot (MI:0113); Coimmunoprecipitation (MI:0019); Colocalization (MI:0403)
hcv0058	CORE	DICER1	23405	16530526	Confocal microscopy (MI:0663); Immunofluorescence (MI:0022); Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0059	CORE	PSME3	10197	16611896	Western blot (MI:0113)
hcv0060	CORE	DICER1	23405	18325616	Western blot (MI:0113); Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022); Immunostaining (MI:0022); Mutational analysis (MI:0074)
hcv0061	CORE	AGRN	375790	18985028	Two Hybrid Test (MI:0018)
hcv0062	CORE	BCAR1	9564	18985028	Two Hybrid Test (MI:0018)
hcv0063	CORE	CD68	968	18985028	Two Hybrid Test (MI:0018)
hcv0064	CORE	COL4A2	1284	18985028	Two Hybrid Test (MI:0018)
hcv0065	CORE	DDX3Y	8653	18985028	Two Hybrid Test (MI:0018)
hcv0066	CORE	EGFL7	51162	18985028	Two Hybrid Test (MI:0018)
hcv0067	CORE	FBLN2	2199	18985028	Two Hybrid Test (MI:0018)
hcv0068	CORE	FBLN5	10516	18985028	Two Hybrid Test (MI:0018)
hcv0069	CORE	GAPDH	2597	18985028	Two Hybrid Test (MI:0018)
hcv0070	CORE	GRN	2896	18985028	Two Hybrid Test (MI:0018)
hcv0071	CORE	HIVEP2	3097	18985028	Two Hybrid Test (MI:0018)
hcv0072	CORE	HOXD8	3234	18985028	Two Hybrid Test (MI:0018)
hcv0073	CORE	LPXN	9404	18985028	Two Hybrid Test (MI:0018)
hcv0074	CORE	LRRTM1	347730	18985028	Two Hybrid Test (MI:0018)
hcv0075	CORE	LTBP4	8425	18985028	Two Hybrid Test (MI:0018)
hcv0076	CORE	MAGED1	9500	18985028	Two Hybrid Test (MI:0018)
hcv0077	CORE	MEGF6	1953	18985028	Two Hybrid Test (MI:0018)
hcv0078	CORE	MMRN2	79812	18985028	Two Hybrid Test (MI:0018)
hcv0079	CORE	NR4A1	3164	18985028	Two Hybrid Test (MI:0018)
hcv0080	CORE	PABPN1	8106	18985028	Two Hybrid Test (MI:0018)
hcv0081	CORE	PAK4	10298	18985028	Two Hybrid Test (MI:0018)
hcv0082	CORE	PLSCR1	5359	18985028	Two Hybrid Test (MI:0018)
hcv0083	CORE	RNF31	55072	18985028	Two Hybrid Test (MI:0018)
hcv0084	CORE	SETD2	29072	18985028	Two Hybrid Test (MI:0018)
hcv0085	CORE	SLC31A2	1318	18985028	Two Hybrid Test (MI:0018)
hcv0086	CORE	VWF	7450	18985028	Two Hybrid Test (MI:0018)
hcv0087	CORE	ZNF271	10778	18985028	Two Hybrid Test (MI:0018)
hcv0088	CORE	YWHAE	7531	10644344	Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018)
hcv0089	CORE	NS5A	951475	11883187	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Colocalization (MI:0403); Affinity Chromatography (MI:0004)
hcv0090	CORE	NS5B	951475	11929715	Immunofluorescence (MI:0022); Coimmunoprecipitation (MI:0019)
hcv0091	CORE	RSF1	51773	12401801	GST pull-down (MI:0059)
hcv0092	CORE	E1	951475	12466485	GST pull-down (MI:0059); Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019)
hcv0093	CORE	SP110	3431	14559998	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0094	CORE	KPNA1	3836	15613354	GST pull-down (MI:0059)
hcv0095	CORE	DDX5	1655	15846844	2-DE (MI:0982); Mass spectrometry (MI:0943)
hcv0096	CORE	NS5A	951475	16166788	Two Hybrid Test (MI:0018)
hcv0097	CORE	EIF2AK2	5610	17267064	Two Hybrid Test (MI:0018); Colocalization (MI:0403); Coimmunoprecipitation (MI:0019)
hcv0098	CORE	PPARA	5465	17764115	Immunoblotting (MI:0113); Affinity Chromatography (MI:0004)
hcv0099	CORE	ACY3	91703	18158989	Two Hybrid Test (MI:0018)
hcv0100	CORE	MCL1	4170	19605477	Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0101	CORE	CORE	951475	8615040	Two Hybrid Test (MI:0018); Far-Western blot (MI:0047); Mutational analysis (MI:0074); GST pull-down (MI:0059); Affinity Chromatography (MI:0004); Far-Western blot (MI:0047); Cross Linking (MI:0030)
hcv0102	CORE	CORE	951475	9191926	Affinity Chromatography (MI:0004); Two Hybrid Test (MI:0018)
hcv0103	E1	E2	951475	8083956	Coimmunoprecipitation (MI:0019); Colocalization (MI:0403); sedimentation (MI:0029)
hcv0104	E1	CORE	951475	8764026	Mutational analysis (MI:0074); Coimmunoprecipitation (MI:0019)
hcv0105	E1	LTF	4057	9223490	Far-Western blot (MI:0047); Coimmunoprecipitation (MI:0019); Pull-down (MI:0096)
hcv0106	E1	CALR	811	9557669	Metabolic labeling (MI:2131); Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0107	E1	CANX	821	9557669	Metabolic labeling (MI:2131); Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0108	E1	HSPA5	3309	9557669	Metabolic labeling (MI:2131); Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0109	E1	E2	951475	10807921	Coimmunoprecipitation (MI:0019); Mutational analysis (MI:0074); circular dichroism spectroscopy (MI:0016); Three dimensional structure (MI:0105)
hcv0110	E1	E2	951475	12502883	Coimmunoprecipitation (MI:0019)
hcv0111	E1	CD209	30835	12634366	Enzyme-linked immunosorbent assay (MI:0411)
hcv0112	E1	CLEC4M	10332	12634366	Enzyme-linked immunosorbent assay (MI:0411)
hcv0113	E1	E2	951475	15136562	Mutational analysis (MI:0074); Coimmunoprecipitation (MI:0019)
hcv0114	E1	CD209	30835	15254204	Mutational analysis (MI:0074); Enzyme-linked immunosorbent assay (MI:0411)
hcv0115	E1	JUN	3725	18985028	Two Hybrid Test (MI:0018)
hcv0116	E1	NR4A1	3164	18985028	Two Hybrid Test (MI:0018)
hcv0117	E1	PFN1	5216	18985028	Two Hybrid Test (MI:0018)
hcv0118	E1	SETD2	29072	18985028	Two Hybrid Test (MI:0018)
hcv0119	E1	TMSB4X	7114	18985028	Two Hybrid Test (MI:0018)
hcv0120	E1	NS5A	951475	10721731	Two Hybrid Test (MI:0018)
hcv0121	E1	E2	951475	8212557	Coimmunoprecipitation (MI:0019)
hcv0122	E2	LTF	4057	9223490	Far-Western blot (MI:0047); Coimmunoprecipitation (MI:0019); Pull-down (MI:0096)
hcv0123	E2	CALR	811	9557669	Metabolic labeling (MI:2131); Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0124	E2	CANX	821	9557669	Metabolic labeling (MI:2131); Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0125	E2	HSPA5	3309	9557669	Metabolic labeling (MI:2131); Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0126	E2	EIF2AK2	5610	10390359	Kinase assay (MI:0424) (MI:0424); His pull-down (MI:0061)
hcv0127	E2	NS3	951475	10721731	Two Hybrid Test (MI:0018)
hcv0128	E2	CD81	975	10846074	Competition Binding Experiment (MI:0405); Enzyme-linked immunosorbent assay (MI:0411)
hcv0129	E2	CD81	975	11080483	Enzyme-linked immunosorbent assay (MI:0411); Immunofluorescence (MI:0022); Competition Binding Experiment (MI:0405)
hcv0130	E2	SCARB1	949	12356718	Coimmunoprecipitation (MI:0019); Western blot (MI:0113)
hcv0131	E2	CD81	975	12522210	Far-Western blot (MI:0047)
hcv0132	E2	LTF	4057	12522210	Far-Western blot (MI:0047)
hcv0133	E2	TF	7018	12522210	Far-Western blot (MI:0047)
hcv0134	E2	CD81	975	12604806	Affinity Chromatography (MI:0004)
hcv0135	E2	EIF2AK3	9451	12610133	Coimmunoprecipitation (MI:0019); Western blot (MI:0113); Kinase assay (MI:0424) (MI:0424)
hcv0136	E2	CD209	30835	12634366	Fluorescence-activated cell sorting (MI:0054); Enzyme-linked immunosorbent assay (MI:0411); Flow cytometry (MI:0054); Western blot (MI:0113); Immunostaining (MI:0022)
hcv0137	E2	CLEC4M	10332	12634366	Fluorescence-activated cell sorting (MI:0054); Enzyme-linked immunosorbent assay (MI:0411); Immunostaining (MI:0022)
hcv0138	E2	SDC2	6383	12867431	Enzyme-linked immunosorbent assay (MI:0411); Flow cytometry (MI:0054)
hcv0139	E2	CD209	30835	15254204	Mutational analysis (MI:0074); Enzyme-linked immunosorbent assay (MI:0411)
hcv0140	E2	HOXD8	3234	18985028	Two Hybrid Test (MI:0018)
hcv0141	E2	ITGB1	3688	18985028	Two Hybrid Test (MI:0018)
hcv0142	E2	FAM135A	57579	18985028	Two Hybrid Test (MI:0018)
hcv0143	E2	NR4A1	3164	18985028	Two Hybrid Test (MI:0018)
hcv0144	E2	PSMA6	5687	18985028	Two Hybrid Test (MI:0018)
hcv0145	E2	SETD2	29072	18985028	Two Hybrid Test (MI:0018)
hcv0146	E2	SMEK2	57223	18985028	Two Hybrid Test (MI:0018)
hcv0147	F	C14orf135	64430	16237761	Two Hybrid Test (MI:0018)
hcv0148	F	ZNF83	55769	16237761	Two Hybrid Test (MI:0018)
hcv0149	F	PFDN2	5202	16876117	Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Immunofluorescence (MI:0022); Coimmunoprecipitation (MI:0019)
hcv0150	F	PFDN5	5204	18398700	Two Hybrid Test (MI:0018); GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663)
hcv0151	F	AGT	183	16237761	Two Hybrid Test (MI:0018)
hcv0152	F	AZGP1	563	16237761	Two Hybrid Test (MI:0018)
hcv0153	F	CTSB	1508	16237761	Two Hybrid Test (MI:0018)
hcv0154	F	MPDU1	9526	16237761	Two Hybrid Test (MI:0018)
hcv0155	F	RAB14	51552	16237761	Two Hybrid Test (MI:0018)
hcv0156	F	SERPINC1	462	16237761	Two Hybrid Test (MI:0018)
hcv0157	F	ST3GAL1	6482	16237761	Two Hybrid Test (MI:0018)
hcv0158	F	vitronectin	7448	16237761	Two Hybrid Test (MI:0018)
hcv0159	F	ZG16	653808	16237761	Two Hybrid Test (MI:0018)
hcv0160	NS2	NS4A	951475	10721731	Two Hybrid Test (MI:0018); Affinity Chromatography (MI:0004)
hcv0161	NS2	NS3	951475	11559826	Size-exclusion chromatography (MI:0071); Mutational analysis (MI:0074)
hcv0162	NS2	CIDEB	27141	12595532	Two Hybrid Test (MI:0018); Colocalization (MI:0403); Coimmunoprecipitation (MI:0019);  Affinity Chromatography (MI:0004)
hcv0163	NS2	NS4B	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663)
hcv0164	NS2	NS4A	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663)
hcv0165	NS2	NS5B	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663)
hcv0166	NS2	NS2	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Affinity Chromatography (MI:0004)
hcv0167	NS2	NS3	951475	12692242	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0168	NS2	C7	730	18985028	Two Hybrid Test (MI:0018)
hcv0169	NS2	FBLN5	10516	18985028	Two Hybrid Test (MI:0018)
hcv0170	NS2	HOXD8	3234	18985028	Two Hybrid Test (MI:0018)
hcv0171	NS2	NR4A1	3164	18985028	Two Hybrid Test (MI:0018)
hcv0172	NS2	POU3F2	5454	18985028	Two Hybrid Test (MI:0018)
hcv0173	NS2	SETD2	29072	18985028	Two Hybrid Test (MI:0018)
hcv0174	NS2	TRIM27	5987	18985028	Two Hybrid Test (MI:0018)
hcv0175	NS2	NS5A	951475	12692242	Coimmunoprecipitation (MI:0019)
hcv0176	NS3	NS4A	951475	7494258	Coimmunoprecipitation (MI:0019); Mutational analysis (MI:0074)
hcv0177	NS3	MBP	4155	8647104	Affinity Chromatography (MI:0004)
hcv0178	NS3	PRM1	5619	8647104	Affinity Chromatography (MI:0004)
hcv0179	NS3	HIST4H4	121504	8647104	Affinity Chromatography (MI:0004)
hcv0180	NS3	HIST3H2BB	128312	8647104	Affinity Chromatography (MI:0004)
hcv0181	NS3	PRKACA	5566	8647104	GST pull-down (MI:0059); autoradiography (MI:0833); Affinity Chromatography (MI:0004)
hcv0182	NS3	PRKACA	5566	9060639	Competition Binding Experiment (MI:0405); Far-Western blot (MI:0047)
hcv0183	NS3	NS3	951475	9187654	Three dimensional structure (MI:0105)
hcv0184	NS3	TP53	7157	9827557	Coimmunoprecipitation (MI:0019)
hcv0185	NS3	NS4A	951475	9827557	Coimmunoprecipitation (MI:0019)
hcv0186	NS3	NS4A	951475	10220351	Gel filtration (MI:0071); Affinity Chromatography (MI:0004)
hcv0187	NS3	HIST3H2BB	128312	10405893	Proteolytic fragmentation (MI:0079); microsequencing (MI:0093); specific histone binding assay (MI:0079); Gel filtration (MI:0071)
hcv0188	NS3	HIST4H4	121504	10405893	Proteolytic fragmentation (MI:0079); microsequencing (MI:0093); specific histone binding assay (MI:0079); Gel filtration (MI:0071)
hcv0189	NS3	SERPINF2	5345	10570951	Immunoblotting (MI:0113); Western blot (MI:0113)
hcv0190	NS3	SERPING1	710	10570951	Immunoblotting (MI:0113); Western blot (MI:0113)
hcv0191	NS3	NS4A	951475	10721731	Two Hybrid Test (MI:0018)
hcv0192	NS3	PRMT5	10419	11152681	Two Hybrid Test (MI:0018); Western blot (MI:0113)
hcv0193	NS3	PRMT1	3276	11483748	Coimmunoprecipitation (MI:0019); Immunoblotting (MI:0113); Affinity Chromatography (MI:0004); Immunoblotting (MI:0113); GST pull-down (MI:0059)
hcv0194	NS3	NS3	951475	12465917	Three dimensional structure (MI:0105)
hcv0195	NS3	NS4B	951475	12692242	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); GST pull-down (MI:0059)
hcv0196	NS3	NS4A	951475	12692242	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); Immunostaining (MI:0022); GST pull-down (MI:0059)
hcv0197	NS3	NS3	951475	12692242	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018); Confocal microscopy (MI:0663); GST pull-down (MI:0059)
hcv0198	NS3	IRF3	3661	12702807	Mutational analysis (MI:0074); Immunoblotting (MI:0113)
hcv0199	NS3	SNRPD1	6632	14524621	Two Hybrid Test (MI:0018); Mutational analysis (MI:0074); Affinity Chromatography (MI:0004); Coimmunoprecipitation (MI:0019)
hcv0200	NS3	NS4A	951475	14627400	Three dimensional structure (MI:0105)
hcv0201	NS3	NS4A	951475	14984200	Three dimensional structure (MI:0105)
hcv0202	NS3	PSMB8	5696	15303969	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0203	NS3	SMAD3	4088	15334054	Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0204	NS3	NS4A	951475	15501035	Three dimensional structure (MI:0105)
hcv0205	NS3	TLR2	7097	15521019	Electrophoretic mobility shift assay (MI:0413); Western blot (MI:0113); Confocal microscopy (MI:0663); Flow cytometry (MI:0054)
hcv0206	NS3	TICAM1	148022	15767257	Immunoblotting (MI:0113); Affinity Chromatography (MI:0004); Immunofluorescence (MI:0022); circular dichroism spectroscopy (MI:0016); Three dimensional structure (MI:0105)
hcv0207	NS3	PTBP2	58155	15823607	Immunofluorescence (MI:0022); GST pull-down (MI:0059); Colocalization (MI:0403); Coimmunoprecipitation (MI:0019)
hcv0208	NS3	IKBKE	9641	15841462	Western blot (MI:0113); Coimmunoprecipitation (MI:0019)
hcv0209	NS3	TBK1	29110	15841462	Western blot (MI:0113); Coimmunoprecipitation (MI:0019)
hcv0210	NS3	ERC1	23085	16033967	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059); Confocal microscopy (MI:0663); immunoelectron microscopy (MI:0040);  Two Hybrid Test (MI:0018)
hcv0211	NS3	NS4A	951475	16078825	Three dimensional structure (MI:0105)
hcv0212	NS3	NS4A	951475	16112862	Three dimensional structure (MI:0105)
hcv0213	NS3	NS4A	951475	16413182	Three dimensional structure (MI:0105)
hcv0214	NS3	NS4A	951475	16876765	Confocal microscopy (MI:0663); Colocalization (MI:0403)
hcv0215	NS3	VISA	57506	17289677	Immunoblotting (MI:0113); Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663)
hcv0216	NS3	NS5B	951475	18179252	Pull-down (MI:0096); surface plasmon resonance (MI:0107); fluorescence polarization binding assay (MI:0053)
hcv0217	NS3	ACTN1	87	18985028	Two Hybrid Test (MI:0018)
hcv0218	NS3	ACTN2	88	18985028	Two Hybrid Test (MI:0018)
hcv0219	NS3	AEBP1	165	18985028	Two Hybrid Test (MI:0018)
hcv0220	NS3	ANKRD12	23253	18985028	Two Hybrid Test (MI:0018)
hcv0221	NS3	ANKRD28	23243	18985028	Two Hybrid Test (MI:0018)
hcv0222	NS3	ARFIP2	23647	18985028	Two Hybrid Test (MI:0018)
hcv0223	NS3	ARHGEF6	9459	18985028	Two Hybrid Test (MI:0018)
hcv0224	NS3	ARNT	405	18985028	Two Hybrid Test (MI:0018)
hcv0225	NS3	ARS2	51593	18985028	Two Hybrid Test (MI:0018)
hcv0226	NS3	ASXL1	171023	18985028	Two Hybrid Test (MI:0018)
hcv0227	NS3	B2M	567	18985028	Two Hybrid Test (MI:0018)
hcv0228	NS3	BCAN	63827	18985028	Two Hybrid Test (MI:0018)
hcv0229	NS3	BCKDK	10295	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0230	NS3	BCL2A1	597	18985028	Two Hybrid Test (MI:0018)
hcv0231	NS3	BCL6	604	18985028	Two Hybrid Test (MI:0018)
hcv0232	NS3	BZRAP1	9256	18985028	Two Hybrid Test (MI:0018)
hcv0233	NS3	C10orf18	54906	18985028	Two Hybrid Test (MI:0018)
hcv0234	NS3	C10orf6	55719	18985028	Two Hybrid Test (MI:0018)
hcv0235	NS3	C12orf41	54934	18985028	Two Hybrid Test (MI:0018)
hcv0236	NS3	INF2	64423	18985028	Two Hybrid Test (MI:0018)
hcv0237	NS3	C16orf7	9605	18985028	Two Hybrid Test (MI:0018)
hcv0238	NS3	BEND5	79656	18985028	Two Hybrid Test (MI:0018)
hcv0239	NS3	C1orf94	84970	18985028	Two Hybrid Test (MI:0018)
hcv0240	NS3	C9orf30	91283	18985028	Two Hybrid Test (MI:0018)
hcv0241	NS3	CALCOCO2	10241	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0242	NS3	CBY1	25776	18985028	Two Hybrid Test (MI:0018)
hcv0243	NS3	CCDC21	64793	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0244	NS3	CCDC37	348807	18985028	Two Hybrid Test (MI:0018)
hcv0245	NS3	CCDC52	152185	18985028	Two Hybrid Test (MI:0018)
hcv0246	NS3	CCDC66	285331	18985028	Two Hybrid Test (MI:0018)
hcv0247	NS3	INO80E	283899	18985028	Two Hybrid Test (MI:0018)
hcv0248	NS3	CCHCR1	54535	18985028	Two Hybrid Test (MI:0018)
hcv0249	NS3	CD5L	922	18985028	Two Hybrid Test (MI:0018)
hcv0250	NS3	CDC23	8697	18985028	Two Hybrid Test (MI:0018)
hcv0251	NS3	CELSR2	1952	18985028	Two Hybrid Test (MI:0018)
hcv0252	NS3	CEP152	22995	18985028	Two Hybrid Test (MI:0018)
hcv0253	NS3	CEP192	55125	18985028	Two Hybrid Test (MI:0018)
