yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CECA5	Entry
10106	A0A024RB65
10106	A0A024RBA6
10106	O14595
10101	B7Z6P0
10101	H3BQR2
10101	Q9Y5Y2
838947	C4PVQ8
838947	Q9LDE3
10103	O60635
10102	E5KS95
10102	P43897
835997	A0A178UAQ1
835997	Q9LUX9
835990	A0A1P8BFU8
835990	Q6NQ88
835991	A0A178UH43
835991	B5X0P4
835991	Q56Y11
835993	A0A1P8BG36
835993	Q8GY03
121457	Q70UQ0
415491	B0I564
176628	O76463
23047	Q9NTI5
176623	Q7K6X4
176623	Q9U240
11854	G3X9Y4
11854	P97348
11854	Q545H8
176625	Q17345
176626	Q9U238
11857	Q61599
832618	A0A178USK7
832618	A0A1P8BAW1
832618	Q8L617
815071	Q9S7L6
59093	P57722
66510	D3YUJ1
66510	Q9CY62
365751	Q5PQN5
174662	Q09415
174663	Q09601
174661	Q09600
174666	Q6BEV5
388697	Q86YZ3
174664	Q09417
388695	Q96S90
838949	A0A178WHK4
838949	P59271
388698	Q5D862
840310	A0A178WM07
840310	A0A1P8ANP7
840310	C0LGF5
100340945	G1SRI8
399539	O19069
2539437	Q9Y7U5
2539436	Q9Y7U4
2539434	O74919
84232	Q9H063
363188	D5MTH0
84230	Q8TDW0
84231	B3KQY7
84231	Q6Q0C0
1667	P59665
1666	A0A024R9D7
1666	Q16698
1665	O43143
1663	Q2NKM7
1663	Q96FC9
1662	Q13206
380375	Q7T0U9
1660	B3KU66
1660	Q08211
243833	Q8BGV5
113451	B3KV62
113451	D3DPR0
113451	Q96A70
100009196	Q28619
830134	O65663
5414	J3KSZ7
5414	O43236
830457	F4K0T5
830457	P32068
830454	A0A1P8BDT6
830454	Q9ZT48
830452	Q9FFK6
5411	Q9H307
830450	Q9FFK8
28035	Q3TIX9
839715	A0A1P8APZ8
839715	F4HWI4
839715	Q38813
735098	Q505M1
830459	Q9FFK2
812260	Q8IKC8
31309	E2QD73
31309	H8F4P8
31309	M9PDN2
31309	P12252
31309	Q8IRU4
31309	Q9W4S9
31309	Q9W4T4
174081	Q19546
100009225	Q29504
174089	Q95QQ2
192285	A2AHG2
192285	A2AHG3
192285	A2AHG4
192285	D3Z764
192285	Q6ZPK0
192286	A0A024R7Q3
192286	Q9BW72
826093	A0A178V3M9
826093	F4JGT7
826093	Q2V3L3
380340	Q7ZX41
311913	F1M241
339	P41238
338	P04114
338	Q59HB3
338	Q7Z7Q0
335	A0A024R3E3
335	P02647
334	A0A140VJE9
334	B4E3I5
334	Q06481
336	P02652
331	B2R9R2
331	P98170
330	Q13489
333	P51693
332	A0A0B4J1S3
332	H3BLT4
332	O15392
834229	Q9FH05
319162	A2AB79
319162	Q8BFU2
834225	A0A178UH55
834225	Q8L9W3
834224	A0A178UBX6
834224	Q9FHW7
834227	Q8L745
398374	Q640Z6
827439	A0A1P8B5A4
827439	F4JNG1
827439	Q93ZA8
51340	Q5JY65
51340	Q69YP1
51340	Q9BZJ0
51341	O95365
51343	Q9UM11
51347	G3V1Q8
51347	Q9H2K8
819156	A0A1P8AYT9
819156	Q8S9M3
819152	A0A178VXY0
819152	Q0WSN6
819152	Q9FVC8
819153	F4IG60
819150	A0A178VVX7
819150	O22131
819151	A0A178VXD2
819151	O22130
149986	Q9BX40
817118	A0A178W1T2
817118	F4ISN4
817118	F4ISN5
25309	P62898
817114	A0A1P8B1I9
817114	F4ISN0
817114	Q9SL90
854595	P03877
25303	Q63120
817111	Q9SL93
25301	B2GVA2
25301	P26801
37757	Q9W1K4
828948	A0A178UYP2
828948	Q6NM81
174124	Q18594
828940	A0A178USU9
828940	A0A1P8B980
828940	A0A1P8B992
828940	A8MSF9
828940	Q9M0I2
828942	A0A178UX84
828942	P93030
828945	F4JL78
828945	Q8VZR8
31205	O46072
31205	X2JCE0
214597	Q3U1L8
214597	Q8CIF6
55972	Q8TBP6
828979	A0A178UXC9
828979	Q94CL7
348235	J3KSP0
348235	Q8WVK7
823547	Q9LXM5
3885693	C6KTA9
29114	Q9UI15
92822	A8K186
92822	I6L9I3
92822	Q8N554
311346	Q5FVI3
100379087	O93308
31200	O46040
31200	P83501
31200	X2JDK3
31200	X2JI38
85294	P0C7H8
85294	Q9BYR9
386575	A0A1D5PN25
386575	Q91956
297428	Q4AEF8
446701	Q6DDI4
835177	A0A178UBJ4
835177	A0A1P8BCI7
835177	B9DGI7
835177	F4KBT8
835177	Q9FI44
835174	A0A178UGM8
835174	Q9FI47
842418	F4HTI7
842418	Q9M5P2
16195	Q00560
16195	Q6PDI9
842414	A0A1P8AV57
842414	F4HTH8
842414	F4HTH9
16190	P16382
16190	Q3U905
55979	A0A0R4J263
55979	O35083
842411	Q2V4G0
842411	Q940K0
16193	A0A0G2JGF4
16193	A2RTD1
16193	P08505
54538	B4DYV8
54538	Q8WZ75
66412	A0A0B4J1F4
293502	Q5I0E8
54539	Q9NX14
56378	Q9JM76
309331	D3ZK36
10938	A0A024R571
10938	B2R5U3
10938	Q9H4M9
10939	Q8TA92
10939	Q9Y4W6
64881	B3KSZ7
64881	Q8N6Y1
64880	M9PCQ8
64880	Q9XTN2
10935	P30048
10930	Q9Y235
56376	D9J2Z9
56376	D9J300
56376	D9J301
56376	D9J302
56376	D9J303
56376	E9Q8P5
56376	Q8CI51
56376	Q9CRA2
10933	Q9UBU8
2543478	Q9P6M0
2543479	Q9P6M1
9448	B7Z3V5
9448	O95819
9448	V9HWH3
2543472	Q9P4X2
9446	P78417
9446	V9HWG9
9445	Q9Y287
9444	Q8WY44
9444	Q96PU8
9443	O43513
9443	Q6IAZ5
9442	A0A024R8B7
9442	Q6P2C8
9441	O95402
9440	A0A1W2PS27
9440	Q9NVC6
150726	Q8TF61
810468	Q8IJ88
54531	Q8N344
16443	E9Q0N0
16443	Q6NZJ5
16443	Q8C4B5
16443	Q9Z0R4
16440	P70227
810466	Q8IJ90
255189	A5PKZ7
255189	Q68DD2
269424	Q6ZPI0
443607	Q52KV5
29757	P25286
29757	Q2I6B2
29757	Q2I6B3
29757	Q2I6B4
29757	Q2I6B5
34528	Q8SX32
54534	Q8N5N7
54535	A0A1U9X7G6
54535	Q2TB68
54535	Q769H0
54535	Q8TD31
81653	A0A0H2UHL9
81653	C6L8E0
81653	Q07266
81651	Q00657
81650	P67874
81650	Q68G11
81657	Q6MFX8
81657	Q9Z0U4
54536	A5YP36
54536	B2RDH5
54536	B3KXY5
54536	B7Z6G5
54536	E7EW84
54536	Q8TAG9
81655	Q5D023
81655	Q62698
8233	Q15696
22931	A0A087X163
22931	B7Z4P9
22931	B7Z5V3
22931	Q9NP72
22930	B9A6J2
22930	Q15042
49228	A0A0B4K6B8
49228	A0A0B4K7A6
49228	C7LAE7
49228	Q86B87
22932	Q6PJE2
22934	P49247
22937	B7Z6H0
22937	Q12770
22936	O00472
22936	Q59FW6
22936	Q7Z656
21372	Q9QXE7
22938	G3V3A4
22938	Q13573
21376	Q3UB74
21374	P29037
21374	Q6RI65
159296	Q8TAU0
844719	A0A1B1W4X6
844719	P56798
94056	Q96A49
56954	Q9NQR4
56954	V9HW91
56955	A0A024RDD1
56955	Q8NC19
56955	Q9NQ76
56956	H0YL54
56956	Q9NQ69
56957	Q6GQQ9
56950	Q9NRG4
839501	A0A178WES1
839501	P23686
56952	Q9NRG1
855221	P39926
34527	Q9V463
192509	M9PBH9
192509	Q9W0E8
192508	B7Z0N0
192507	M9MRG2
192507	Q8T079
192507	X2JDP6
192506	Q9VCE2
855223	Q12751
290851	B1H248
71900	Q80X71
71902	Q6ZQ38
52705	Q8BGA5
17714	O88396
17714	Q0VB85
17717	P03893
17717	Q9MD59
17716	P03888
17716	Q4JFN6
17711	P00158
17711	Q7JCZ3
70408	Q8C108
70408	Q921X6
2542294	Q9UTG6
360213	D3YXA6
360213	Q3TC52
360213	Q7TNM2
17719	P03911
17719	Q7JCY6
190617	Q9N4E9
7444	A8K9L2
7444	Q86Y07
174712	Q22251
44920	P02825
44920	P82910
60611	Q9ES18
841298	Q9C744
9119	O95678
54700	B7ZB55
54700	F5H148
54700	Q9NYV6
54707	Q9H9Y4
54705	A0A0G2QC17
54705	A1L1J4
54704	A0A024R9C0
54704	Q6P1N1
54704	Q9P0J1
380031	Q7ZXJ2
54709	Q9QZD9
37905	A0A0B4KG01
37905	Q9W167
37902	Q9W170
824769	A0A178V9L0
824769	Q9LY43
37901	Q9W171
27436	B5MBZ0
27436	Q9HC35
27434	Q9NP87
27433	Q5JU69
27433	Q8N2E6
91107	Q96LD4
20423	Q62226
27430	A0A140VJP2
27430	Q9NZL9
27439	Q9BXQ6
853830	P32861
836856	A0A178UEM8
836856	Q9FH92
67062	A2AF28
67062	E9PZF7
186156	Q20717
67068	A2AVR9
67068	P62627
841314	Q9FVQ1
836675	A0A178UBY1
836675	Q8GWU7
811519	Q8I4U7
3890470	P92532
68944	Q3V4A0
68944	Q921L3
68943	Q99MQ3
434246	Q1XH17
836671	A0A1P8BDN5
836671	A0A1P8BDP2
836671	A0A1P8BDP7
836671	A0A1P8BDQ0
836671	A0A1P8BDS9
836671	Q9FKP4
196513	B4DVJ6
196513	Q8IZD4
106572	Q3TXV4
106572	Q921E2
836673	A0A178U6I7
836673	Q9LSM6
37843	Q7JPB9
850559	P43592
850558	P43591
841872	A0A178WKQ6
841872	F4HVA0
841872	Q9ASW2
495227	Q5XG28
67397	P57759
841876	A0A178WMA2
841876	Q6NLC1
850551	P43586
850550	P31115
850553	P43587
850552	P34077
850555	P43589
850554	P43588
850556	P43590
29028	A0A024R9G7
29028	Q6PL18
219972	Q2M385
834143	Q38897
79676	A0A024RBQ7
79676	B3KTF4
79676	Q6N063
79677	Q96SB8
79675	D3DPC4
79675	Q05D57
79675	Q53R41
79672	A0A140VK84
79672	Q9HA64
12282	Q9JKR6
79670	Q5VYS8
79670	Q96KX5
79670	X6R3Q3
79671	Q86UT6
727851	F8W705
727851	O14715
12283	Q06138
729873	Q6IPX1
729873	Q8IZP1
55328	B4DJW3
55328	Q5VYX0
79679	Q7Z7D3
182611	Q17975
855318	P48524
855319	P48510
855315	Q03529
855316	P50111
855317	Q03530
855310	P49960
855311	Q03525
855312	P53437
855313	P30402
26747	Q9UHK0
947811	P0A7U3
305332	F1M392
840989	Q8VZN9
26748	O76087
26748	P0CL80
26748	P0CL81
26748	P0CL82
26749	Q9UEU5
180659	Q11103
50289	Q9VTP8
2539763	Q9USY1
180652	Q18075
180653	H2KYV3
180653	Q18076
50286	A0A0S0WH10
50286	Q9VU58
50286	X2JB24
50287	Q9VU56
50285	Q9VU93
34767	Q9VJX3
259287	P59536
34763	Q9VJX7
34762	Q9VJX8
34761	Q9VJX9
835231	A0A178UM06
835231	Q9FHM7
34769	Q9VJX2
34768	Q9V3U7
838865	A0A178WHA8
838865	Q7X9H1
838865	Q9SKA0
67938	Q3THE2
851206	P39735
851207	P39524
851204	P32492
50133	Q0E8X8
851202	P39732
851203	P31109
851200	P28005
851201	P28004
615043	P62808
851208	P10962
851209	P07866
818447	A0A178VX08
818447	A0A1P8AX74
818447	Q9ZVI7
818447	W8Q6X1
24420	Q6AYD5
24423	P04905
24426	B6DYQ7
24426	P04906
182494	P90745
35116	M9PDC4
35116	Q7KJV2
35116	Q9VJ70
574402	Q6NS65
852579	P38148
852578	P29539
852575	P38348
852574	P38347
852577	P38147
852576	P38349
852571	P36532
326246	Q86BG8
326246	Q961L8
852573	P38346
852572	P38345
856669	P32621
856668	P32618
856665	P37303
856664	P32614
856667	P32617
856660	P32611
856663	P32613
856662	P32612
174841	Q7K7J6
174841	Q9XXI9
3973	P22888
8840	O95388
3975	P48742
3975	Q58F18
3977	A8K1Z4
3977	P42702
3976	P15018
3978	B4DM52
3978	F5GZ28
3978	P18858
821328	A0A1I9LM89
821328	Q9LSK7
817409	A0A178VWD5
817409	Q8VY52
3634890	Q9P4E8
208043	Q3URP1
208043	Q8CFT2
35417	Q2PDP3
35417	Q8IMF3
35417	Q8IMF4
35417	Q9V9R4
35414	Q7KRS6
35414	Q9V9R6
13990	Q04692
35410	Q9W5U9
35411	Q9V9S0
822023	Q9LK10
35418	O16043
35419	Q95RI9
35419	Q9V9R3
824137	A0A178VI92
824137	A0A1I9LP15
824137	Q9M2Y3
199953	Q5SNT2
230917	A2A8U2
230917	Q3TXY3
230917	Q8C397
230917	Q8C9U2
821323	Q9LVH4
51663	Q05D65
51663	Q96KR1
55561	Q6DT37
51661	Q9Y680
51660	Q5TI65
51660	Q9Y5U8
51667	A0A090N8Q5
51667	H3BM14
51667	H3BM74
51667	Q9Y5A7
55565	A0A087WXX1
55565	A0A0C4DH12
55565	O75541
51665	B9A047
51665	Q9Y576
55567	B4E1S1
55567	Q8TD57
55568	Q86SR1
51669	A0A140VK59
51669	B7Z307
51669	Q96BY9
51668	Q9Y547
2655237	C0H4T3
2542462	Q9P370
2542463	P09322
2542460	Q10345
2542461	O13829
2542466	O13838
2542467	P09988
2542467	P10651
2542465	O13849
246515	Q8SYC1
2542468	C1M2W1
2542468	Q10154
2542469	O13820
2538879	O74551
36264	A0A0B4KFE9
36264	A1Z8P9
4478	P26038
4478	V9HWC0
36266	Q7KHI6
36260	Q95TY2
36262	Q7JZ56
36263	Q5U154
36268	A8DYB0
36269	Q9V629
25469	G3V6L7
25469	P15385
74143	H7BX01
74143	P58281
85300	A0A0S2Z5T8
85300	Q86WG3
85302	Q8TES7
85305	Q3TIV6
85305	Q8R2P8
85305	Q99MN1
74144	A0A0R4J197
74144	A0A1L1SUF8
74144	D3Z4M4
74144	Q8C310
74148	A0A0R4J140
74148	Q5SW19
827445	A0A1P8B770
827445	F4JP43
266601	Q62760
135656	E9PEI6
135656	Q3MIW9
139170	Q5VU92
41259	Q9VH02
820494	Q6R2K2
5345	P08697
41253	Q9VH09
827441	A0A178UXK3
827441	Q9M0M4
41250	Q0KI91
41256	A0A0B4K6D8
41256	A0A0B4K707
41256	A0A0B4KFP5
41256	A0A0B4KGR1
41256	Q0KI87
41256	Q7KSS0
41256	Q9VH03
41254	Q9VH08
2538720	O74983
36193	A1Z8H6
36190	A1Z8H3
1026	A0A024RCX5
1026	P38936
36196	A0A1B2AKF3
36196	Q7JZV0
2538725	Q9USH8
36194	A0A0B4JCR2
36194	A1Z8H7
36195	A0A0B4LF64
36195	P47948
2538728	Q9Y7T7
5340	P00747
5340	Q5TEH5
36199	A0A0B4KET0
36199	Q1LZ08
5341	P08567
836199	A0A178UID3
836199	Q9FJH7
3416	B3KSB8
3416	P14735
814738	Q9ZUL3
641340	Q8VCQ3
836190	Q9SE43
836195	Q9FF46
836196	Q8VZ58
173858	Q23237
173859	A0A0S4XR45
173859	A0A0S4XRS7
173859	Q23238
21354	P21958
21354	Q3TBA3
21354	Q3U6V4
837821	A0A178WN08
837821	Q8W1E4
8530	O76096
173854	G8JYE5
173854	Q23525
850961	Q06146
850962	P27472
850963	P19882
850964	Q06147
850966	Q99260
850967	Q3E764
850968	P14291
850969	P0C0X0
5349	Q14802
854036	Q12469
836441	A0A178ULM2
836441	A0A1R7T396
836441	Q67YJ9
836440	A0A178UJH1
836440	Q94BR1
854037	Q12317
645811	A6NI56
33014	F0JAF7
33014	Q9W5X0
33015	Q9W5W9
33016	Q9W5W8
33017	Q9W5W7
33011	Q9W5X3
33011	X2JFW7
841234	A0A178W5Y4
841234	Q9LNG8
33013	E8NH67
33013	M9MSF5
33013	Q9W5X1
810605	Q8IIW0
33018	Q9W5W6
71242	Q6P926
71241	Q8CGW9
854033	P22148
854030	Q08268
2542871	O14228
79862	A0A024R5S3
79862	Q96BR6
831870	Q9LZF6
21357	P97473
21357	Q3UNH9
79861	A6NHL2
71409	A2APV2
71409	A2AQW2
71409	F8VPR2
71409	Q8BI52
138162	Q5BN46
79867	Q96GX1
68203	Q3UWU7
68203	Q5PR73
79866	A0A087WV86
79866	B5LMG6
79866	Q6PGQ7
3639263	Q5ABX0
79865	Q5T2D2
81515	Q07014
373918	P05094
40610	A0A0B4K5Z5
40610	P25153
579	P78367
40613	Q9VN73
178943	O44156
178942	P46822
40616	A0A0B4LGR6
40616	P41046
40617	Q9VN77
573	Q99933
572	A0A024R562
572	Q92934
571	O14867
570	Q14032
577	O60242
576	O60241
575	O14514
18294	O08760
18294	Q3UIL3
18293	Q60597
18293	Z4YJV4
4360	P22897
13489	P61168
837313	A0A178WGX8
837313	A0A1P8AN83
837313	Q9LN09
813945	Q8IEK1
690244	P61959
837318	Q3EDG5
813949	Q76NM5
813948	Q8IEJ1
4868	O60500
14735	P51655
175840	G8JY83
175840	P0CG71
175843	G8JY82
175843	H2KZL8
175843	Q09315
38799	Q9VS38
172817	G5EFS1
175844	B3GWA0
175844	B3GWA1
175844	Q8I7K5
175844	Q95QI9
172815	Q17606
38792	Q9VS32
38793	Q9VS33
38791	Q9VS31
38796	Q9V3E3
38797	Q9VS36
38794	M9PHM6
38794	Q9VS34
38795	Q9U9Q2
843469	A0A1P8AX12
843469	Q9FVV4
843129	A0A178WM81
843129	A0A1P8ANC0
843129	Q9C9W5
171546	Q969W0
192159	Q3UNG1
192159	Q99PV0
843125	A0A178WF00
843125	Q9S7U5
70508	Q8VBW5
843121	Q9C9V9
843122	A0A178WE46
843122	D6RVY5
843122	Q9C9W0
855923	P32945
5557	P49642
18120	Q9CQ40
5551	P14222
18126	A0A1L1STZ4
18126	P29477
5553	P13727
5552	P10124
322338	Q7T2A6
18129	G5E8J0
18129	O35516
18128	Q01705
4860	P00491
4860	V9HWH6
33909	A0A1B2AJZ5
33909	Q9VMC8
38240	Q9W078
38241	Q9W077
38242	M9PE91
38242	Q9W076
2016	Q04741
38244	M9MRT6
38244	P08645
38246	Q9W073
38248	Q8IRG6
38249	M9PBI7
38249	Q8IRG5
38249	Q9W070
823555	A0A178V952
823555	P32962
823555	Q1LYZ1
823553	A0A178V7I3
823553	A0A1I9LLD9
823553	Q9LXM0
37867	Q94521
823551	Q9LXM2
855926	P41817
43325	Q9VB10
819396	A0A178VYR0
819396	O82251
2013	P54851
2013	Q7Z4B3
819392	Q7DM58
856754	P40020
30095	A2BHA3
843463	A0A1P8AQF0
843463	Q9FVU9
442038	Q6IMI6
834750	A0A178UN51
834750	O64948
834753	Q9LTC0
834752	A0A178U8H3
834752	Q9FGQ9
31328	E7BBS6
31328	Q9W4Q9
31329	O46043
834756	A0A1P8BBZ1
834756	Q9LTB8
31975	Q9W2U9
31326	Q9W4R1
31326	Q9W4R2
361258	A0A0G2K761
361258	D4A0H4
31320	M9PDP5
31320	M9PGK9
31320	Q9W4R7
31321	Q8MT08
31321	X2JCG2
31321	X2JI73
31322	M9PGE1
31322	Q9W4R3
5883	Q99638
5881	P60763
5880	A0A024R1P2
5880	P15153
