Entry,Entry name,,Protein families,Cross-reference (Pfam),Cross-reference (PIRSF),Organism,Organism ID
P25847,MSH2_YEAST,reviewed,DNA mismatch repair MutS family,PF01624;PF05188;PF05192;PF05190;PF00488;,PIRSF005813;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32598,PP12_YEAST,reviewed,"PPP phosphatase family, PP-1 subfamily",PF00149;PF16891;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22147,XRN1_YEAST,reviewed,5'-3' exonuclease family,PF03159;,PIRSF006743;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P17157,PHO85_YEAST,reviewed,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P06782,SNF1_YEAST,reviewed,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",PF16579;PF00069;PF08587;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32447,ASF1_YEAST,reviewed,ASF1 family,PF04729;,PIRSF037759;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P06700,SIR2_YEAST,reviewed,"Sirtuin family, Class I subfamily",PF04574;PF02146;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P06780,RHO1_YEAST,reviewed,"Small GTPase superfamily, Rho family",PF00071;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P52286,SKP1_YEAST,reviewed,SKP1 family,PF01466;PF03931;,PIRSF028729;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P06104,UBC2_YEAST,reviewed,Ubiquitin-conjugating enzyme family,PF00179;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P47069,MPS3_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P29703,FNTA_YEAST,reviewed,Protein prenyltransferase subunit alpha family,PF01239;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36001,FOLC_YEAST,reviewed,Folylpolyglutamate synthase family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P08524,FPPS_YEAST,reviewed,FPP/GGPP synthase family,PF00348;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P28003,FUN19_YEAST,reviewed,,PF04433;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q99341,FYV1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53913,FYV6_YEAST,reviewed,FYV6 family,PF10187;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38297,FZO1_YEAST,reviewed,"TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family, Mitofusin subfamily",PF00350;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39012,GAA1_YEAST,reviewed,,PF04114;,PIRSF036762;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22146,GAS1_YEAST,reviewed,Glycosyl hydrolase 72 family,PF03198;PF07983;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43557,FMP32_YEAST,reviewed,CCDC90 family,PF07798;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53233,FMP48_YEAST,reviewed,"Protein kinase superfamily, Ser/Thr protein kinase family",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12676,FOLD_YEAST,reviewed,Folylpolyglutamate synthase family,PF08245;,PIRSF001563;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32614,FRDS_YEAST,reviewed,"FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily",PF00890;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32791,FRE1_YEAST,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38310,FTH1_YEAST,reviewed,Oxidase-dependent Fe transporter (OFeT) (TC 9.A.10.1) family,PF03239;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P18852,GBG_YEAST,reviewed,G protein gamma family,PF00631;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P42837,FIG4_YEAST,reviewed,,PF02383;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08967,FLC1_YEAST,reviewed,Transient receptor potential (TRP) ion channel family,PF06011;PF14558;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P23900,FPS1_YEAST,reviewed,MIP/aquaporin (TC 1.A.8) family,PF00230;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05015,FSH2_YEAST,reviewed,AB hydrolase 3 family,PF03959;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P11710,FUS1_YEAST,reviewed,,PF00018;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08559,FYV12_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36033,FRE2_YEAST,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12473,FRE6_YEAST,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12209,FRE8_YEAST,reviewed,,PF01794;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12029,FSF1_YEAST,reviewed,Sideroflexin family,PF03820;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32805,FZF1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36170,FLO10_YEAST,reviewed,Flocculin family,PF13928;PF07691;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39712,FLO9_YEAST,reviewed,Flocculin family,PF00624;PF13928;PF07691;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P03870,FLP_YEAST,reviewed,'phage' integrase family,PF05202;PF03930;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38124,FLR1_YEAST,reviewed,Major facilitator superfamily,PF07690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38866,FMO1_YEAST,reviewed,FMO family,PF00743;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06179,FMP27_YEAST,reviewed,,PF10351;PF10293;PF10344;PF10347;PF10305;PF10359;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P46998,FMP33_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q07651,FMP45_YEAST,reviewed,SUR7 family,PF06687;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32785,FMT_YEAST,reviewed,Fmt family,PF00551;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08908,FRE5_YEAST,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12333,FRE7_YEAST,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40088,FTR1_YEAST,reviewed,Oxidase-dependent Fe transporter (OFeT) (TC 9.A.10.1) family,PF03239;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P31381,FUN26_YEAST,reviewed,SLC29A/ENT transporter (TC 2.A.57) family,PF01733;,PIRSF016379;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P31380,FUN30_YEAST,reviewed,SNF2/RAD54 helicase family,PF00271;PF00176;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05670,FUS2_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P16892,FUS3_YEAST,reviewed,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P11412,G6PD_YEAST,reviewed,Glucose-6-phosphate dehydrogenase family,PF02781;PF00479;,PIRSF000110;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04433,FIT1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03002,FRK1_YEAST,reviewed,"Protein kinase superfamily, Ser/Thr protein kinase family",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P08417,FUMH_YEAST,reviewed,"Class-II fumarase/aspartase family, Fumarase subfamily",PF10415;PF00206;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P28006,GAC1_YEAST,reviewed,,PF03370;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P08431,GAL7_YEAST,reviewed,Galactose-1-phosphate uridylyltransferase type 1 family,PF02744;PF01087;,PIRSF000808;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q07928,GAT3_YEAST,reviewed,,PF00320;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q07825,FRA1_YEAST,reviewed,Peptidase M24B family,PF01321;PF00557;PF16188;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q07540,FRDA_YEAST,reviewed,Frataxin family,PF01491;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53746,FRE4_YEAST,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38777,FSH1_YEAST,reviewed,AB hydrolase 3 family,PF03959;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38196,FUI1_YEAST,reviewed,Purine-cytosine permease (2.A.39) family,PF02133;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05316,FUR4_YEAST,reviewed,Purine-cytosine permease (2.A.39) family,PF02133;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P12709,G6PI_YEAST,reviewed,GPI family,PF00342;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P17649,GABAT_YEAST,reviewed,Class-III pyridoxal-phosphate-dependent aminotransferase family,PF00202;,PIRSF000521;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04952,FKS3_YEAST,reviewed,Glycosyltransferase 48 family,PF14288;PF02364;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q02883,FMP30_YEAST,reviewed,NAPE-PLD family,PF12706;,PIRSF038896;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53889,FMP41_YEAST,reviewed,FAH family,PF01557;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36141,FMP46_YEAST,reviewed,FMP46 family,PF07955;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08905,FRE3_YEAST,reviewed,Ferric reductase (FRE) family,PF08022;PF01794;PF08030;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36088,FRMSR_YEAST,reviewed,Free Met sulfoxide reductase family,PF13185;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P46949,FYV8_YEAST,reviewed,FYV8 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40099,FTHC_YEAST,reviewed,5-formyltetrahydrofolate cyclo-ligase family,PF01812;,PIRSF006806;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25659,FUB1_YEAST,reviewed,Proteasome inhibitor PI31 family,PF08577;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P18411,FUN14_YEAST,reviewed,FUN14 family,PF04930;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12247,FYV7_YEAST,reviewed,FYV7 family,PF08524;,PIRSF037708;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03655,GAS3_YEAST,reviewed,Glycosyl hydrolase 72 family,PF03198;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08271,GAS4_YEAST,reviewed,Glycosyl hydrolase 72 family,PF03198;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P33893,GATB_YEAST,reviewed,"GatB/GatE family, GatB subfamily",PF02934;PF02637;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P00358,G3P2_YEAST,reviewed,Glyceraldehyde-3-phosphate dehydrogenase family,PF02800;PF00044;,PIRSF000149;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P04385,GAL1_YEAST,reviewed,"GHMP kinase family, GalK subfamily",PF10509;PF08544;PF00288;,PIRSF000530;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P13045,GAL3_YEAST,reviewed,"GHMP kinase family, GalK subfamily",PF10509;PF08544;PF00288;,PIRSF000530;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04739,GAL83_YEAST,reviewed,5'-AMP-activated protein kinase beta subunit family,PF16561;PF04739;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P18851,GBB_YEAST,reviewed,WD repeat G protein beta family,PF00400;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25585,FYV5_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P19145,GAP1_YEAST,reviewed,"Amino acid-polyamine-organocation (APC) superfamily, YAT (TC 2.A.3.10) family",PF00324;,PIRSF006060;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06135,GAS2_YEAST,reviewed,Glycosyl hydrolase 72 family,PF03198;PF07983;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40209,GAT2_YEAST,reviewed,,PF00320;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03330,GCN5_YEAST,reviewed,"Acetyltransferase family, GCN5 subfamily",PF00583;PF00439;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P35197,GCS1_YEAST,reviewed,,PF01412;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P14065,GCY1_YEAST,reviewed,Aldo/keto reductase family,PF00248;,PIRSF000097;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38812,GEP4_YEAST,reviewed,GEP4 family,PF09419;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40208,GID8_YEAST,reviewed,GID8 family,PF10607;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38783,FYV4_YEAST,reviewed,Mitochondrion-specific ribosomal protein mS41 family,PF09597;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38011,GBLP_YEAST,reviewed,"WD repeat G protein beta family, Ribosomal protein RACK1 subfamily",PF00400;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32621,GDA1_YEAST,reviewed,GDA1/CD39 NTPase family,PF01150;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06625,GDE_YEAST,reviewed,Glycogen debranching enzyme family,PF06202;PF14701;PF14702;PF14699;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39958,GDI1_YEAST,reviewed,Rab GDI family,PF00996;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38301,GDT1_YEAST,reviewed,GDT1 family,PF01169;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39993,GEA2_YEAST,reviewed,,PF01369;PF12783;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38785,GIC1_YEAST,reviewed,BORG/CEP family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P00360,G3P1_YEAST,reviewed,Glyceraldehyde-3-phosphate dehydrogenase family,PF02800;PF00044;,PIRSF000149;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P33892,GCN1_YEAST,reviewed,GCN1 family,PF12074;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P47102,GEA1_YEAST,reviewed,,PF01369;PF12783;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40056,GET2_YEAST,reviewed,GET2 family,PF08690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12154,GET3_YEAST,reviewed,ArsA ATPase family,PF02374;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P04387,GAL80_YEAST,reviewed,,PF01408;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P28007,GAR1_YEAST,reviewed,GAR1 family,PF04410;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08193,GAS5_YEAST,reviewed,Glycosyl hydrolase 72 family,PF03198;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40569,GAT4_YEAST,reviewed,,PF00320;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43535,GCN20_YEAST,reviewed,"ABC transporter superfamily, ABCF family, EF3 subfamily",PF00005;PF12848;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P03069,GCN4_YEAST,reviewed,"BZIP family, GCN4 subfamily",PF07716;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39722,GEM1_YEAST,reviewed,Mitochondrial Rho GTPase family,PF08355;PF08356;PF00071;,PIRSF037488;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P00359,G3P3_YEAST,reviewed,Glyceraldehyde-3-phosphate dehydrogenase family,PF02800;PF00044;,PIRSF000149;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P04397,GAL10_YEAST,reviewed,NAD(P)-dependent epimerase/dehydratase family; Aldose epimerase family,PF01263;PF16363;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P04386,GAL4_YEAST,reviewed,,PF04082;PF03902;PF00172;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43574,GAT1_YEAST,reviewed,,PF08550;PF00320;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P37020,GEF1_YEAST,reviewed,Chloride channel (TC 2.A.49) family,PF00571;PF00654;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q99369,FSH3_YEAST,reviewed,AB hydrolase 3 family,PF03959;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40492,FYV10_YEAST,reviewed,FYV10 family,PF10607;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P13181,GAL2_YEAST,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q01722,GCR2_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q02979,GDE1_YEAST,reviewed,GDE1 family,PF12796;PF03009;PF03105;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25555,GBP2_YEAST,reviewed,,PF00076;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53171,GEP7_YEAST,reviewed,GEP7 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25596,GEX1_YEAST,reviewed,Major facilitator superfamily,PF07690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P14742,GFA1_YEAST,reviewed,,PF01380;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03768,GIR2_YEAST,reviewed,RWDD1/GIR2 family,PF05773;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P47011,GLG2_YEAST,reviewed,"Glycosyltransferase 8 family, Glycogenin subfamily",PF01501;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25370,GFD2_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q99339,GIN11_YEAST,reviewed,UPF0320 family,PF04318;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12418,GIS3_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12315,GLE1_YEAST,reviewed,GLE1 family,PF07817;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P10823,GPA2_YEAST,reviewed,"G-alpha family, G(q) subfamily",PF00503;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P41913,GDS1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36173,GEX2_YEAST,reviewed,Major facilitator superfamily,PF07690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06648,GIC2_YEAST,reviewed,BORG/CEP family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05584,GLO2_YEAST,reviewed,"Metallo-beta-lactamase superfamily, Glyoxalase II family",PF16123;PF00753;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39732,GIP4_YEAST,reviewed,GIP4 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P41818,GLC8_YEAST,reviewed,,PF04979;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40066,GLE2_YEAST,reviewed,WD repeat rae1 family,PF00400;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32288,GLNA_YEAST,reviewed,Glutamine synthetase family,PF00120;PF03951;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P37303,GLY1_YEAST,reviewed,Threonine aldolase family,PF01212;,PIRSF017617;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03557,GATA_YEAST,reviewed,"Amidase family, GatA subfamily",PF01425;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53260,GATF_YEAST,reviewed,GatF family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
