Entry,Entry name,,Protein families,Cross-reference (Pfam),Cross-reference (PIRSF),Organism,Organism ID
Q10281,GBLP_SCHPO,reviewed,"WD repeat G protein beta family, Ribosomal protein RACK1 subfamily",PF00400;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P378,GAS1_SCHPO,reviewed,Glycosyl hydrolase 72 family,PF03198;PF07983;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13692,GAS5_SCHPO,reviewed,Glycosyl hydrolase 72 family,PF03198;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HDV9,GCSH_SCHPO,reviewed,GcvH family,PF01597;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09740,GFA1_SCHPO,reviewed,,PF01380;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P78831,GHT5_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13837,GABAT_SCHPO,reviewed,Class-III pyridoxal-phosphate-dependent aminotransferase family,PF00202;,PIRSF000521;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10282,GBB_SCHPO,reviewed,WD repeat G protein beta family,PF00400;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14255,GCS1_SCHPO,reviewed,Glycosyl hydrolase 63 family,PF03200;PF16923;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09763,GEF1_SCHPO,reviewed,,PF00621;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09733,GEF2_SCHPO,reviewed,,PF17114;PF00621;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P7R5,GFH1_SCHPO,reviewed,TUBGCP family,PF04130;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9US04,GGT1_SCHPO,reviewed,Gamma-glutamyltransferase family,PF01019;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q8TFG1,GHT7_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9USY7,FZO1_SCHPO,reviewed,"TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family, Mitofusin subfamily",PF00350;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P7J8,GAD8_SCHPO,reviewed,"Protein kinase superfamily, AGC Ser/Thr protein kinase family",PF00168;PF00069;PF00433;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10105,GCN1_SCHPO,reviewed,GCN1 family,PF12074;PF02985;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UT35,GDA1_SCHPO,reviewed,GDA1/CD39 NTPase family,PF01150;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9C104,GDE1_SCHPO,reviewed,GDE1 family,PF12796;PF03009;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10305,GDI1_SCHPO,reviewed,Rab GDI family,PF00996;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P7F8,GET3_SCHPO,reviewed,ArsA ATPase family,PF02374;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UUK2,GCN5_SCHPO,reviewed,"Acetyltransferase family, GCN5 subfamily",PF00583;PF00439;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59781,GEM1_SCHPO,reviewed,Mitochondrial Rho GTPase family,PF08355;PF08356;PF00071;,PIRSF037488;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74849,GHT6_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14110,GCST_SCHPO,reviewed,GcvT family,PF01571;PF08669;,PIRSF006487;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9USN5,GDH2_SCHPO,reviewed,Glu/Leu/Phe/Val dehydrogenases family,PF05088;PF00208;,PIRSF000184;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94439,FSC1_SCHPO,reviewed,,PF02469;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09785,GCSP_SCHPO,reviewed,GcvP family,PF02347;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HGM2,GET1_SCHPO,reviewed,WRB/GET1 family,PF04420;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74969,GHT2_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13702,GLD1_SCHPO,reviewed,Iron-containing alcohol dehydrogenase family,PF00465;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59703,GGPPS_SCHPO,reviewed,FPP/GGPP synthase family,PF00348;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59932,GHT4_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10359,GMH3_SCHPO,reviewed,Glycosyltransferase 34 family,PF05637;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P21696,GPD1_SCHPO,reviewed,NAD-dependent glycerol-3-phosphate dehydrogenase family,PF07479;PF01210;,PIRSF000114;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13774,GCH1_SCHPO,reviewed,GTP cyclohydrolase I family,PF01227;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59679,GEF3_SCHPO,reviewed,,PF00621;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74432,GET4_SCHPO,reviewed,GET4 family,PF04190;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94744,GIT3_SCHPO,reviewed,G-protein coupled receptor GPR1/git3 family,PF11710;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94652,GLE1_SCHPO,reviewed,GLE1 family,PF07817;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9US55,GLU2A_SCHPO,reviewed,Glycosyl hydrolase 31 family,PF17137;PF13802;PF01055;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9USH8,GLU2B_SCHPO,reviewed,,PF12999;PF13015;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P87041,GMS1_SCHPO,reviewed,"Nucleotide-sugar transporter family, SLC35A subfamily",PF04142;,PIRSF005799;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94309,GBG_SCHPO,reviewed,G protein gamma family,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09179,GLNA_SCHPO,reviewed,Glutamine synthetase family,PF00120;PF03951;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HDW8,GLRX5_SCHPO,reviewed,"Glutaredoxin family, Monothiol subfamily",PF00462;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09679,GMH1_SCHPO,reviewed,Glycosyltransferase 34 family,PF05637;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10367,GLO3_SCHPO,reviewed,,PF01412;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74790,GLRX4_SCHPO,reviewed,"Glutaredoxin family, Monothiol subfamily",PF00462;PF00085;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14224,GDIR_SCHPO,reviewed,Rho GDI family,PF02115;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
G2TRR1,GEMI7_SCHPO,reviewed,,PF11095;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9Y7U3,GEP4_SCHPO,reviewed,GEP4 family,PF09419;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P3U7,GHT8_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P7K5,GIT1_SCHPO,reviewed,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P3U6,GHT1_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9C102,GLT1_SCHPO,reviewed,Glutamate synthase family,PF14691;PF00310;PF04898;PF01645;PF01493;PF07992;,PIRSF000187;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14194,GGT2_SCHPO,reviewed,Gamma-glutamyltransferase family,PF01019;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q92339,GHT3_SCHPO,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59709,GIT7_SCHPO,reviewed,,PF04969;PF05002;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O36032,GLRX1_SCHPO,reviewed,Glutaredoxin family,PF00462;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13940,GLY1_SCHPO,reviewed,Threonine aldolase family,PF01212;,PIRSF017617;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P87172,GPI3_SCHPO,reviewed,"Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily",PF00534;PF08288;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P42881,GPT_SCHPO,reviewed,Glycosyltransferase 4 family,PF00953;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59858,GPX1_SCHPO,reviewed,Glutathione peroxidase family,PF00255;,PIRSF000303;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P36604,GRP78_SCHPO,reviewed,Heat shock protein 70 family,PF00012;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14367,GTI1_SCHPO,reviewed,,PF09729;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94250,GLO22_SCHPO,reviewed,"Metallo-beta-lactamase superfamily, Glyoxalase II family",PF16123;PF00753;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
A6X972,GON7_SCHPO,reviewed,GON7 family,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14400,GPDM_SCHPO,reviewed,FAD-dependent glycerol-3-phosphate dehydrogenase family,PF01266;PF16901;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14443,GPN3_SCHPO,reviewed,GPN-loop GTPase family,PF03029;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9USN0,GPI10_SCHPO,reviewed,"Glycosyltransferase 22 family, PIGB subfamily",PF03901;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9HDW9,GPI12_SCHPO,reviewed,PIGL family,PF02585;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P6R5,GPI14_SCHPO,reviewed,PIGM family,PF05007;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59802,GPI2_SCHPO,reviewed,PIGC family,PF06432;,PIRSF016104;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O74791,GRN1_SCHPO,reviewed,TRAFAC class YlqF/YawG GTPase family,PF08701;PF01926;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9C469,GRT1_SCHPO,reviewed,,PF04082;PF00172;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94246,GSH0_SCHPO,reviewed,"Aldo/keto reductase family, Glutamate--cysteine ligase light chain subfamily",,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13663,GPI13_SCHPO,reviewed,"PIGG/PIGN/PIGO family, PIGO subfamily",PF01663;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9Y7L7,GPI15_SCHPO,reviewed,PIGH family,PF10181;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14357,GPI1_SCHPO,reviewed,,PF05024;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UU96,GRC3_SCHPO,reviewed,"Clp1 family, NOL9/GRC3 subfamily",PF16575;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9Y7N3,GLRX3_SCHPO,reviewed,"Glutaredoxin family, Monothiol subfamily",PF00462;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UT36,GLO21_SCHPO,reviewed,"Metallo-beta-lactamase superfamily, Glyoxalase II family",PF16123;PF00753;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UTI2,GLRX2_SCHPO,reviewed,Glutaredoxin family,PF00462;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13808,GMF1_SCHPO,reviewed,"Actin-binding proteins ADF family, GMF subfamily",PF00241;,PIRSF001788;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09681,GMH2_SCHPO,reviewed,Glycosyltransferase 34 family,PF05637;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09845,GPD2_SCHPO,reviewed,NAD-dependent glycerol-3-phosphate dehydrogenase family,PF07479;PF01210;,PIRSF000114;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10104,GLYM_SCHPO,reviewed,SHMT family,PF00464;,PIRSF000412;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UTK8,GMT_SCHPO,reviewed,"TPT transporter family, SLC35D subfamily",,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O59762,GNR1_SCHPO,reviewed,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9USJ2,GOT1_SCHPO,reviewed,GOT1 family,PF04178;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O42906,GPN1_SCHPO,reviewed,GPN-loop GTPase family,PF03029;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13972,GLYD_SCHPO,reviewed,SHMT family,PF00464;,PIRSF000412;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09174,GMA12_SCHPO,reviewed,Glycosyltransferase 34 family,PF05637;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13738,GNA1_SCHPO,reviewed,"Acetyltransferase family, GNA1 subfamily",PF00583;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q10242,GNTK_SCHPO,reviewed,Gluconokinase GntK/GntV family,PF01202;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P27584,GPA1_SCHPO,reviewed,"G-alpha family, G(q) subfamily",PF00503;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q04665,GPA2_SCHPO,reviewed,G-alpha family,PF00503;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9USP5,GPI8_SCHPO,reviewed,Peptidase C13 family,PF01650;,PIRSF500138;PIRSF019663;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P6S0,GSF2_SCHPO,reviewed,Mam3/map4 family,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14057,GUAD_SCHPO,reviewed,ATZ/TRZ family,PF01979;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94711,GYP2_SCHPO,reviewed,,PF02893;PF00566;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P36611,HAP3_SCHPO,reviewed,NFYB/HAP3 subunit family,PF00808;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9P3U4,HEL1_SCHPO,reviewed,RBR family,PF01485;PF00097;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9Y7Q2,GST1_SCHPO,reviewed,GST superfamily,PF00043;PF02798;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94661,GYP10_SCHPO,reviewed,,PF00566;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P87234,GYP3_SCHPO,reviewed,,PF00566;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P10651,H33_SCHPO,reviewed,Histone H3 family,PF00125;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P09322,H4_SCHPO,reviewed,Histone H4 family,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14346,HACD_SCHPO,reviewed,Very long-chain fatty acids dehydratase HACD family,PF04387;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O94247,HCS1_SCHPO,reviewed,DNA2/NAM7 helicase family,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O14092,HEM1_SCHPO,reviewed,Class-II pyridoxal-phosphate-dependent aminotransferase family,PF00155;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q9UTE2,HEM6_SCHPO,reviewed,Aerobic coproporphyrinogen-III oxidase family,PF01218;,PIRSF000166;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
O13869,GUF1_SCHPO,reviewed,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, LepA subfamily",PF00679;PF03144;PF06421;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
P09988,H31_SCHPO,reviewed,Histone H3 family,PF00125;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q76PD2,HEL2_SCHPO,reviewed,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09899,HEM3_SCHPO,reviewed,HMBS family,PF01379;PF03900;,PIRSF001438;,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
Q09768,GSH1_SCHPO,reviewed,Glutamate--cysteine ligase type 3 family,PF03074;,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),284812
